lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
48.0,46.0,80.0,68.0,35.0,37.0,37.0,54.0,70.0,32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83,0,0,1,0,0,0,0,83,30,1
46.0,80.0,68.0,35.0,37.0,37.0,54.0,70.0,32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195,0,0,0,1,0,0,0,195,31,1
80.0,68.0,35.0,37.0,37.0,54.0,70.0,32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127,0,1,0,0,0,0,0,127,1,2
68.0,35.0,37.0,37.0,54.0,70.0,32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52,0,0,0,0,0,1,0,52,2,2
35.0,37.0,37.0,54.0,70.0,32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57,0,0,0,0,0,0,1,57,3,2
37.0,37.0,54.0,70.0,32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37,0,0,0,0,1,0,0,37,4,2
37.0,54.0,70.0,32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40,1,0,0,0,0,0,0,40,5,2
54.0,70.0,32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42,0,0,1,0,0,0,0,42,6,2
70.0,32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41,0,0,0,1,0,0,0,41,7,2
32.0,37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40,0,1,0,0,0,0,0,40,8,2
37.0,54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41,0,0,0,0,0,1,0,41,9,2
54.0,129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41,0,0,0,0,0,0,1,41,10,2
129.0,98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55,0,0,0,0,1,0,0,55,11,2
98.0,56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55.0,56,1,0,0,0,0,0,0,56,12,2
56.0,63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55.0,56.0,50,0,0,1,0,0,0,0,50,13,2
63.0,118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55.0,56.0,50.0,42,0,0,0,1,0,0,0,42,14,2
118.0,75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55.0,56.0,50.0,42.0,38,0,1,0,0,0,0,0,38,15,2
75.0,66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55.0,56.0,50.0,42.0,38.0,56,0,0,0,0,0,1,0,56,16,2
66.0,52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55.0,56.0,50.0,42.0,38.0,56.0,82,0,0,0,0,0,0,1,82,17,2
52.0,56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55.0,56.0,50.0,42.0,38.0,56.0,82.0,61,0,0,0,0,1,0,0,61,18,2
56.0,53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55.0,56.0,50.0,42.0,38.0,56.0,82.0,61.0,38,1,0,0,0,0,0,0,38,19,2
53.0,61.0,57.0,42.0,43.0,49.0,75.0,83.0,195.0,127.0,52.0,57.0,37.0,40.0,42.0,41.0,40.0,41.0,41.0,55.0,56.0,50.0,42.0,38.0,56.0,82.0,61.0,38.0,51,0,0,1,0,0,0,0,51,20,2
