lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
116.0,77.0,83.0,31.0,34.0,39.0,58.0,42.0,55.0,54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54,0,0,1,0,0,0,0,54,30,1
77.0,83.0,31.0,34.0,39.0,58.0,42.0,55.0,54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31,0,0,0,1,0,0,0,31,31,1
83.0,31.0,34.0,39.0,58.0,42.0,55.0,54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30,0,1,0,0,0,0,0,30,1,2
31.0,34.0,39.0,58.0,42.0,55.0,54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38,0,0,0,0,0,1,0,38,2,2
34.0,39.0,58.0,42.0,55.0,54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44,0,0,0,0,0,0,1,44,3,2
39.0,58.0,42.0,55.0,54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64,0,0,0,0,1,0,0,64,4,2
58.0,42.0,55.0,54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68,1,0,0,0,0,0,0,68,5,2
42.0,55.0,54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92,0,0,1,0,0,0,0,92,6,2
55.0,54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86,0,0,0,1,0,0,0,86,7,2
54.0,66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86.0,78,0,1,0,0,0,0,0,78,8,2
66.0,57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86.0,78.0,53,0,0,0,0,0,1,0,53,9,2
57.0,56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86.0,78.0,53.0,71,0,0,0,0,0,0,1,71,10,2
56.0,51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86.0,78.0,53.0,71.0,83,0,0,0,0,1,0,0,83,11,2
51.0,61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86.0,78.0,53.0,71.0,83.0,92,1,0,0,0,0,0,0,92,12,2
61.0,42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86.0,78.0,53.0,71.0,83.0,92.0,114,0,0,1,0,0,0,0,114,13,2
42.0,28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86.0,78.0,53.0,71.0,83.0,92.0,114.0,116,0,0,0,1,0,0,0,116,14,2
28.0,25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86.0,78.0,53.0,71.0,83.0,92.0,114.0,116.0,96,0,1,0,0,0,0,0,96,15,2
25.0,27.0,44.0,37.0,32.0,46.0,55.0,51.0,69.0,93.0,81.0,54.0,31.0,30.0,38.0,44.0,64.0,68.0,92.0,86.0,78.0,53.0,71.0,83.0,92.0,114.0,116.0,96.0,84,0,0,0,0,0,1,0,84,16,2
