lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
44.0,39.0,31.0,34.0,37.0,42.0,32.0,34.0,38.0,39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32,0,0,1,0,0,0,0,32,30,1
39.0,31.0,34.0,37.0,42.0,32.0,34.0,38.0,39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41,0,0,0,1,0,0,0,41,31,1
31.0,34.0,37.0,42.0,32.0,34.0,38.0,39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33,0,1,0,0,0,0,0,33,1,2
34.0,37.0,42.0,32.0,34.0,38.0,39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38,0,0,0,0,0,1,0,38,2,2
37.0,42.0,32.0,34.0,38.0,39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41,0,0,0,0,0,0,1,41,3,2
42.0,32.0,34.0,38.0,39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40,0,0,0,0,1,0,0,40,4,2
32.0,34.0,38.0,39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40.0,40,1,0,0,0,0,0,0,40,5,2
34.0,38.0,39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40.0,40.0,44,0,0,1,0,0,0,0,44,6,2
38.0,39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40.0,40.0,44.0,44,0,0,0,1,0,0,0,44,7,2
39.0,33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40.0,40.0,44.0,44.0,39,0,1,0,0,0,0,0,39,8,2
33.0,42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40.0,40.0,44.0,44.0,39.0,44,0,0,0,0,0,1,0,44,9,2
42.0,43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40.0,40.0,44.0,44.0,39.0,44.0,41,0,0,0,0,0,0,1,41,10,2
43.0,30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40.0,40.0,44.0,44.0,39.0,44.0,41.0,36,0,0,0,0,1,0,0,36,11,2
30.0,41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40.0,40.0,44.0,44.0,39.0,44.0,41.0,36.0,35,1,0,0,0,0,0,0,35,12,2
41.0,37.0,31.0,40.0,44.0,38.0,34.0,40.0,38.0,32.0,41.0,31.0,39.0,44.0,32.0,41.0,33.0,38.0,41.0,40.0,40.0,44.0,44.0,39.0,44.0,41.0,36.0,35.0,43,0,0,1,0,0,0,0,43,13,2
