lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
43.0,63.0,86.0,102.0,100.0,56.0,51.0,51.0,56.0,52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43,0,0,1,0,0,0,0,43,30,1
63.0,86.0,102.0,100.0,56.0,51.0,51.0,56.0,52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39,0,0,0,1,0,0,0,39,31,1
86.0,102.0,100.0,56.0,51.0,51.0,56.0,52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41,0,1,0,0,0,0,0,41,1,2
102.0,100.0,56.0,51.0,51.0,56.0,52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40,0,0,0,0,0,1,0,40,2,2
100.0,56.0,51.0,51.0,56.0,52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39,0,0,0,0,0,0,1,39,3,2
56.0,51.0,51.0,56.0,52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35,0,0,0,0,1,0,0,35,4,2
51.0,51.0,56.0,52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61,1,0,0,0,0,0,0,61,5,2
51.0,56.0,52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72,0,0,1,0,0,0,0,72,6,2
56.0,52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78,0,0,0,1,0,0,0,78,7,2
52.0,52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64,0,1,0,0,0,0,0,64,8,2
52.0,65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55,0,0,0,0,0,1,0,55,9,2
65.0,75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53,0,0,0,0,0,0,1,53,10,2
75.0,69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54,0,0,0,0,1,0,0,54,11,2
69.0,61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58,1,0,0,0,0,0,0,58,12,2
61.0,55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63,0,0,1,0,0,0,0,63,13,2
55.0,32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64,0,0,0,1,0,0,0,64,14,2
32.0,53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58,0,1,0,0,0,0,0,58,15,2
53.0,46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55,0,0,0,0,0,1,0,55,16,2
46.0,37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40,0,0,0,0,0,0,1,40,17,2
37.0,35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41,0,0,0,0,1,0,0,41,18,2
35.0,57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43,1,0,0,0,0,0,0,43,19,2
57.0,62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39,0,0,1,0,0,0,0,39,20,2
62.0,48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44,0,0,0,1,0,0,0,44,21,2
48.0,36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44,0,1,0,0,0,0,0,44,22,2
36.0,38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42,0,0,0,0,0,1,0,42,23,2
38.0,50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41,0,0,0,0,0,0,1,41,24,2
50.0,60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44,0,0,0,0,1,0,0,44,25,2
60.0,43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44,1,0,0,0,0,0,0,44,26,2
43.0,39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41,0,0,1,0,0,0,0,41,27,2
39.0,41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46,0,0,0,1,0,0,0,46,28,2
41.0,40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43,0,1,0,0,0,0,0,43,29,2
40.0,39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40,0,0,0,0,0,1,0,40,1,3
39.0,35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51,0,0,0,0,0,0,1,51,2,3
35.0,61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46,0,0,0,0,1,0,0,46,3,3
61.0,72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43,1,0,0,0,0,0,0,43,4,3
72.0,78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48,0,0,1,0,0,0,0,48,5,3
78.0,64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38,0,0,0,1,0,0,0,38,6,3
64.0,55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41,0,1,0,0,0,0,0,41,7,3
55.0,53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43,0,0,0,0,0,1,0,43,8,3
53.0,54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40,0,0,0,0,0,0,1,40,9,3
54.0,58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42,0,0,0,0,1,0,0,42,10,3
58.0,63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37,1,0,0,0,0,0,0,37,11,3
63.0,64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46,0,0,1,0,0,0,0,46,12,3
64.0,58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43,0,0,0,1,0,0,0,43,13,3
58.0,55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44,0,1,0,0,0,0,0,44,14,3
55.0,40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45,0,0,0,0,0,1,0,45,15,3
40.0,41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45,0,0,0,0,0,0,1,45,16,3
41.0,43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44,0,0,0,0,1,0,0,44,17,3
43.0,39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49,1,0,0,0,0,0,0,49,18,3
39.0,44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49,0,0,1,0,0,0,0,49,19,3
44.0,44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43,0,0,0,1,0,0,0,43,20,3
44.0,42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48,0,1,0,0,0,0,0,48,21,3
42.0,41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48,0,0,0,0,0,1,0,48,22,3
41.0,44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39,0,0,0,0,0,0,1,39,23,3
44.0,44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43,0,0,0,0,1,0,0,43,24,3
44.0,41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42,1,0,0,0,0,0,0,42,25,3
41.0,46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43,0,0,1,0,0,0,0,43,26,3
46.0,43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43,0,0,0,1,0,0,0,43,27,3
43.0,40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49,0,1,0,0,0,0,0,49,28,3
40.0,51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42,0,0,0,0,0,1,0,42,29,3
51.0,46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18,0,0,0,0,0,0,1,18,30,3
46.0,43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44,0,0,0,0,1,0,0,44,31,3
43.0,48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46,1,0,0,0,0,0,0,46,1,4
48.0,38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44,0,0,1,0,0,0,0,44,2,4
38.0,41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45,0,0,0,1,0,0,0,45,3,4
41.0,43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44,0,1,0,0,0,0,0,44,4,4
43.0,40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47,0,0,0,0,0,1,0,47,5,4
40.0,42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47,0,0,0,0,0,0,1,47,6,4
42.0,37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50,0,0,0,0,1,0,0,50,7,4
37.0,46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50,1,0,0,0,0,0,0,50,8,4
46.0,43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43,0,0,1,0,0,0,0,43,9,4
43.0,44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44,0,0,0,1,0,0,0,44,10,4
44.0,45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43,0,1,0,0,0,0,0,43,11,4
45.0,45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43,0,0,0,0,0,1,0,43,12,4
45.0,44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44,0,0,0,0,0,0,1,44,13,4
44.0,49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44.0,46,0,0,0,0,1,0,0,46,14,4
49.0,49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44.0,46.0,50,1,0,0,0,0,0,0,50,15,4
49.0,43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44.0,46.0,50.0,44,0,0,1,0,0,0,0,44,16,4
43.0,48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44.0,46.0,50.0,44.0,42,0,0,0,1,0,0,0,42,17,4
48.0,48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44.0,46.0,50.0,44.0,42.0,42,0,1,0,0,0,0,0,42,18,4
48.0,39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44.0,46.0,50.0,44.0,42.0,42.0,48,0,0,0,0,0,1,0,48,19,4
39.0,43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44.0,46.0,50.0,44.0,42.0,42.0,48.0,46,0,0,0,0,0,0,1,46,20,4
43.0,42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44.0,46.0,50.0,44.0,42.0,42.0,48.0,46.0,84,0,0,0,0,1,0,0,84,21,4
42.0,43.0,43.0,49.0,42.0,18.0,44.0,46.0,44.0,45.0,44.0,47.0,47.0,50.0,50.0,43.0,44.0,43.0,43.0,44.0,46.0,50.0,44.0,42.0,42.0,48.0,46.0,84.0,77,1,0,0,0,0,0,0,77,22,4
