lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
26.0,15.0,16.0,16.0,11.0,6.0,8.0,9.0,7.0,12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5,0,0,0,1,0,0,0,5,31,1
15.0,16.0,16.0,11.0,6.0,8.0,9.0,7.0,12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5,0,1,0,0,0,0,0,5,1,2
16.0,16.0,11.0,6.0,8.0,9.0,7.0,12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6,0,0,0,0,0,1,0,6,2,2
16.0,11.0,6.0,8.0,9.0,7.0,12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5,0,0,0,0,0,0,1,5,3,2
11.0,6.0,8.0,9.0,7.0,12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11,0,0,0,0,1,0,0,11,4,2
6.0,8.0,9.0,7.0,12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10,1,0,0,0,0,0,0,10,5,2
8.0,9.0,7.0,12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12,0,0,1,0,0,0,0,12,6,2
9.0,7.0,12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12,0,0,0,1,0,0,0,12,7,2
7.0,12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22,0,1,0,0,0,0,0,22,8,2
12.0,18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30,0,0,0,0,0,1,0,30,9,2
18.0,14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41,0,0,0,0,0,0,1,41,10,2
14.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55,0,0,0,0,1,0,0,55,11,2
5.0,6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51,1,0,0,0,0,0,0,51,12,2
6.0,6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51.0,42,0,0,1,0,0,0,0,42,13,2
6.0,8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51.0,42.0,15,0,0,0,1,0,0,0,15,14,2
8.0,6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51.0,42.0,15.0,6,0,1,0,0,0,0,0,6,15,2
6.0,6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51.0,42.0,15.0,6.0,17,0,0,0,0,0,1,0,17,16,2
6.0,6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51.0,42.0,15.0,6.0,17.0,54,0,0,0,0,0,0,1,54,17,2
6.0,14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51.0,42.0,15.0,6.0,17.0,54.0,20,0,0,0,0,1,0,0,20,18,2
14.0,8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51.0,42.0,15.0,6.0,17.0,54.0,20.0,20,1,0,0,0,0,0,0,20,19,2
8.0,7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51.0,42.0,15.0,6.0,17.0,54.0,20.0,20.0,46,0,0,1,0,0,0,0,46,20,2
7.0,6.0,10.0,16.0,19.0,8.0,6.0,5.0,5.0,6.0,5.0,11.0,10.0,12.0,12.0,22.0,30.0,41.0,55.0,51.0,42.0,15.0,6.0,17.0,54.0,20.0,20.0,46.0,42,0,0,0,1,0,0,0,42,21,2
