lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
25.0,25.0,36.0,36.0,38.0,30.0,29.0,29.0,35.0,30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44,0,0,1,0,0,0,0,44,30,1
25.0,36.0,36.0,38.0,30.0,29.0,29.0,35.0,30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44.0,37,0,0,0,1,0,0,0,37,31,1
36.0,36.0,38.0,30.0,29.0,29.0,35.0,30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44.0,37.0,28,0,1,0,0,0,0,0,28,1,2
36.0,38.0,30.0,29.0,29.0,35.0,30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44.0,37.0,28.0,27,0,0,0,0,0,1,0,27,2,2
38.0,30.0,29.0,29.0,35.0,30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44.0,37.0,28.0,27.0,25,0,0,0,0,0,0,1,25,3,2
30.0,29.0,29.0,35.0,30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44.0,37.0,28.0,27.0,25.0,29,0,0,0,0,1,0,0,29,4,2
29.0,29.0,35.0,30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44.0,37.0,28.0,27.0,25.0,29.0,41,1,0,0,0,0,0,0,41,5,2
29.0,35.0,30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44.0,37.0,28.0,27.0,25.0,29.0,41.0,32,0,0,1,0,0,0,0,32,6,2
35.0,30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44.0,37.0,28.0,27.0,25.0,29.0,41.0,32.0,45,0,0,0,1,0,0,0,45,7,2
30.0,28.0,35.0,46.0,30.0,39.0,42.0,32.0,36.0,43.0,43.0,35.0,39.0,36.0,41.0,35.0,26.0,27.0,33.0,44.0,37.0,28.0,27.0,25.0,29.0,41.0,32.0,45.0,44,0,1,0,0,0,0,0,44,8,2
