lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,26.0,28.0,29.0,24.0,35.0,22.0,29.0,23.0,5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37,0,0,1,0,0,0,0,37,30,1
26.0,28.0,29.0,24.0,35.0,22.0,29.0,23.0,5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48,0,0,0,1,0,0,0,48,31,1
28.0,29.0,24.0,35.0,22.0,29.0,23.0,5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41,0,1,0,0,0,0,0,41,1,2
29.0,24.0,35.0,22.0,29.0,23.0,5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39,0,0,0,0,0,1,0,39,2,2
24.0,35.0,22.0,29.0,23.0,5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13,0,0,0,0,0,0,1,13,3,2
35.0,22.0,29.0,23.0,5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12,0,0,0,0,1,0,0,12,4,2
22.0,29.0,23.0,5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12.0,16,1,0,0,0,0,0,0,16,5,2
29.0,23.0,5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12.0,16.0,18,0,0,1,0,0,0,0,18,6,2
23.0,5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12.0,16.0,18.0,21,0,0,0,1,0,0,0,21,7,2
5.0,18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12.0,16.0,18.0,21.0,36,0,1,0,0,0,0,0,36,8,2
18.0,29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12.0,16.0,18.0,21.0,36.0,25,0,0,0,0,0,1,0,25,9,2
29.0,58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12.0,16.0,18.0,21.0,36.0,25.0,35,0,0,0,0,0,0,1,35,10,2
58.0,23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12.0,16.0,18.0,21.0,36.0,25.0,35.0,45,0,0,0,0,1,0,0,45,11,2
23.0,28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12.0,16.0,18.0,21.0,36.0,25.0,35.0,45.0,28,1,0,0,0,0,0,0,28,12,2
28.0,25.0,27.0,25.0,30.0,33.0,21.0,40.0,34.0,40.0,40.0,42.0,41.0,29.0,37.0,48.0,41.0,39.0,13.0,12.0,16.0,18.0,21.0,36.0,25.0,35.0,45.0,28.0,44,0,0,1,0,0,0,0,44,13,2
