lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,28.0,31.0,31.0,34.0,30.0,23.0,30.0,24.0,31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51,0,0,1,0,0,0,0,51,30,1
28.0,31.0,31.0,34.0,30.0,23.0,30.0,24.0,31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40,0,0,0,1,0,0,0,40,31,1
31.0,31.0,34.0,30.0,23.0,30.0,24.0,31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37,0,1,0,0,0,0,0,37,1,2
31.0,34.0,30.0,23.0,30.0,24.0,31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32,0,0,0,0,0,1,0,32,2,2
34.0,30.0,23.0,30.0,24.0,31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33,0,0,0,0,0,0,1,33,3,2
30.0,23.0,30.0,24.0,31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34,0,0,0,0,1,0,0,34,4,2
23.0,30.0,24.0,31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38,1,0,0,0,0,0,0,38,5,2
30.0,24.0,31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38.0,41,0,0,1,0,0,0,0,41,6,2
24.0,31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38.0,41.0,41,0,0,0,1,0,0,0,41,7,2
31.0,31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38.0,41.0,41.0,44,0,1,0,0,0,0,0,44,8,2
31.0,26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38.0,41.0,41.0,44.0,36,0,0,0,0,0,1,0,36,9,2
26.0,33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38.0,41.0,41.0,44.0,36.0,37,0,0,0,0,0,0,1,37,10,2
33.0,38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38.0,41.0,41.0,44.0,36.0,37.0,48,0,0,0,0,1,0,0,48,11,2
38.0,32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38.0,41.0,41.0,44.0,36.0,37.0,48.0,43,1,0,0,0,0,0,0,43,12,2
32.0,31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38.0,41.0,41.0,44.0,36.0,37.0,48.0,43.0,39,0,0,1,0,0,0,0,39,13,2
31.0,32.0,31.0,40.0,41.0,32.0,36.0,38.0,40.0,40.0,25.0,32.0,45.0,51.0,40.0,37.0,32.0,33.0,34.0,38.0,41.0,41.0,44.0,36.0,37.0,48.0,43.0,39.0,48,0,0,0,1,0,0,0,48,14,2
