lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,28.0,22.0,25.0,21.0,16.0,24.0,39.0,33.0,50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13,0,0,1,0,0,0,0,13,30,1
28.0,22.0,25.0,21.0,16.0,24.0,39.0,33.0,50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13.0,10,0,0,0,1,0,0,0,10,31,1
22.0,25.0,21.0,16.0,24.0,39.0,33.0,50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13.0,10.0,23,0,1,0,0,0,0,0,23,1,2
25.0,21.0,16.0,24.0,39.0,33.0,50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13.0,10.0,23.0,24,0,0,0,0,0,1,0,24,2,2
21.0,16.0,24.0,39.0,33.0,50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13.0,10.0,23.0,24.0,17,0,0,0,0,0,0,1,17,3,2
16.0,24.0,39.0,33.0,50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13.0,10.0,23.0,24.0,17.0,22,0,0,0,0,1,0,0,22,4,2
24.0,39.0,33.0,50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13.0,10.0,23.0,24.0,17.0,22.0,35,1,0,0,0,0,0,0,35,5,2
39.0,33.0,50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13.0,10.0,23.0,24.0,17.0,22.0,35.0,47,0,0,1,0,0,0,0,47,6,2
33.0,50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13.0,10.0,23.0,24.0,17.0,22.0,35.0,47.0,33,0,0,0,1,0,0,0,33,7,2
50.0,40.0,26.0,29.0,51.0,43.0,25.0,15.0,20.0,14.0,17.0,6.0,10.0,33.0,32.0,33.0,55.0,58.0,56.0,13.0,10.0,23.0,24.0,17.0,22.0,35.0,47.0,33.0,32,0,1,0,0,0,0,0,32,8,2
