lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
25.0,12.0,14.0,117.0,91.0,43.0,59.0,59.0,72.0,44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33,0,0,1,0,0,0,0,33,30,1
12.0,14.0,117.0,91.0,43.0,59.0,59.0,72.0,44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41,0,0,0,1,0,0,0,41,31,1
14.0,117.0,91.0,43.0,59.0,59.0,72.0,44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17,0,1,0,0,0,0,0,17,1,2
117.0,91.0,43.0,59.0,59.0,72.0,44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56,0,0,0,0,0,1,0,56,2,2
91.0,43.0,59.0,59.0,72.0,44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23,0,0,0,0,0,0,1,23,3,2
43.0,59.0,59.0,72.0,44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28,0,0,0,0,1,0,0,28,4,2
59.0,59.0,72.0,44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67,1,0,0,0,0,0,0,67,5,2
59.0,72.0,44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35,0,0,1,0,0,0,0,35,6,2
72.0,44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70,0,0,0,1,0,0,0,70,7,2
44.0,26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55,0,1,0,0,0,0,0,55,8,2
26.0,43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50,0,0,0,0,0,1,0,50,9,2
43.0,51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58,0,0,0,0,0,0,1,58,10,2
51.0,37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67,0,0,0,0,1,0,0,67,11,2
37.0,36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73,1,0,0,0,0,0,0,73,12,2
36.0,28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64,0,0,1,0,0,0,0,64,13,2
28.0,33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41,0,0,0,1,0,0,0,41,14,2
33.0,13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35,0,1,0,0,0,0,0,35,15,2
13.0,17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27,0,0,0,0,0,1,0,27,16,2
17.0,13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19,0,0,0,0,0,0,1,19,17,2
13.0,15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23,0,0,0,0,1,0,0,23,18,2
15.0,18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12,1,0,0,0,0,0,0,12,19,2
18.0,38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24,0,0,1,0,0,0,0,24,20,2
38.0,61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19,0,0,0,1,0,0,0,19,21,2
61.0,55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18,0,1,0,0,0,0,0,18,22,2
55.0,26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15,0,0,0,0,0,1,0,15,23,2
26.0,52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26,0,0,0,0,0,0,1,26,24,2
52.0,44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26.0,34,0,0,0,0,1,0,0,34,25,2
44.0,33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26.0,34.0,25,1,0,0,0,0,0,0,25,26,2
33.0,41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26.0,34.0,25.0,30,0,0,1,0,0,0,0,30,27,2
41.0,17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26.0,34.0,25.0,30.0,16,0,0,0,1,0,0,0,16,28,2
17.0,56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26.0,34.0,25.0,30.0,16.0,15,0,1,0,0,0,0,0,15,29,2
56.0,23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26.0,34.0,25.0,30.0,16.0,15.0,17,0,0,0,0,0,1,0,17,1,3
23.0,28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26.0,34.0,25.0,30.0,16.0,15.0,17.0,16,0,0,0,0,0,0,1,16,2,3
28.0,67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26.0,34.0,25.0,30.0,16.0,15.0,17.0,16.0,27,0,0,0,0,1,0,0,27,3,3
67.0,35.0,70.0,55.0,50.0,58.0,67.0,73.0,64.0,41.0,35.0,27.0,19.0,23.0,12.0,24.0,19.0,18.0,15.0,26.0,34.0,25.0,30.0,16.0,15.0,17.0,16.0,27.0,31,1,0,0,0,0,0,0,31,4,3
