lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
36.0,41.0,33.0,37.0,39.0,31.0,32.0,37.0,41.0,32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27,0,0,1,0,0,0,0,27,30,4
41.0,33.0,37.0,39.0,31.0,32.0,37.0,41.0,32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47,0,0,0,1,0,0,0,47,1,5
33.0,37.0,39.0,31.0,32.0,37.0,41.0,32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20,0,1,0,0,0,0,0,20,2,5
37.0,39.0,31.0,32.0,37.0,41.0,32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40,0,0,0,0,0,1,0,40,3,5
39.0,31.0,32.0,37.0,41.0,32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35,0,0,0,0,0,0,1,35,4,5
31.0,32.0,37.0,41.0,32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37,0,0,0,0,1,0,0,37,5,5
32.0,37.0,41.0,32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46,1,0,0,0,0,0,0,46,6,5
37.0,41.0,32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35,0,0,1,0,0,0,0,35,7,5
41.0,32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33,0,0,0,1,0,0,0,33,8,5
32.0,41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33,0,1,0,0,0,0,0,33,9,5
41.0,44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49,0,0,0,0,0,1,0,49,10,5
44.0,47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51,0,0,0,0,0,0,1,51,11,5
47.0,77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44,0,0,0,0,1,0,0,44,12,5
77.0,84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36,1,0,0,0,0,0,0,36,13,5
84.0,100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31,0,0,1,0,0,0,0,31,14,5
100.0,93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42,0,0,0,1,0,0,0,42,15,5
93.0,87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42,0,1,0,0,0,0,0,42,16,5
87.0,51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39,0,0,0,0,0,1,0,39,17,5
51.0,40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45,0,0,0,0,0,0,1,45,18,5
40.0,41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54,0,0,0,0,1,0,0,54,19,5
41.0,40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47,1,0,0,0,0,0,0,47,20,5
40.0,49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71,0,0,1,0,0,0,0,71,21,5
49.0,67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61,0,0,0,1,0,0,0,61,22,5
67.0,40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112,0,1,0,0,0,0,0,112,23,5
40.0,27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105,0,0,0,0,0,1,0,105,24,5
27.0,31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64,0,0,0,0,0,0,1,64,25,5
31.0,32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40,0,0,0,0,1,0,0,40,26,5
32.0,27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44,1,0,0,0,0,0,0,44,27,5
27.0,47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45,0,0,1,0,0,0,0,45,28,5
47.0,20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50,0,0,0,1,0,0,0,50,29,5
20.0,40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50.0,54,0,1,0,0,0,0,0,54,30,5
40.0,35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50.0,54.0,77,0,0,0,0,0,1,0,77,31,5
35.0,37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50.0,54.0,77.0,50,0,0,0,0,0,0,1,50,1,6
37.0,46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50.0,54.0,77.0,50.0,54,0,0,0,0,1,0,0,54,2,6
46.0,35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50.0,54.0,77.0,50.0,54.0,90,1,0,0,0,0,0,0,90,3,6
35.0,33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50.0,54.0,77.0,50.0,54.0,90.0,39,0,0,1,0,0,0,0,39,4,6
33.0,33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50.0,54.0,77.0,50.0,54.0,90.0,39.0,40,0,0,0,1,0,0,0,40,5,6
33.0,49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50.0,54.0,77.0,50.0,54.0,90.0,39.0,40.0,71,0,1,0,0,0,0,0,71,6,6
49.0,51.0,44.0,36.0,31.0,42.0,42.0,39.0,45.0,54.0,47.0,71.0,61.0,112.0,105.0,64.0,40.0,44.0,45.0,50.0,54.0,77.0,50.0,54.0,90.0,39.0,40.0,71.0,36,0,0,0,0,0,1,0,36,7,6
