lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,35.0,31.0,42.0,43.0,45.0,22.0,22.0,30.0,29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40,0,0,1,0,0,0,0,40,30,1
35.0,31.0,42.0,43.0,45.0,22.0,22.0,30.0,29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36,0,0,0,1,0,0,0,36,31,1
31.0,42.0,43.0,45.0,22.0,22.0,30.0,29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31,0,1,0,0,0,0,0,31,1,2
42.0,43.0,45.0,22.0,22.0,30.0,29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29,0,0,0,0,0,1,0,29,2,2
43.0,45.0,22.0,22.0,30.0,29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28,0,0,0,0,0,0,1,28,3,2
45.0,22.0,22.0,30.0,29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33,0,0,0,0,1,0,0,33,4,2
22.0,22.0,30.0,29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40,1,0,0,0,0,0,0,40,5,2
22.0,30.0,29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55,0,0,1,0,0,0,0,55,6,2
30.0,29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43,0,0,0,1,0,0,0,43,7,2
29.0,32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28,0,1,0,0,0,0,0,28,8,2
32.0,30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30,0,0,0,0,0,1,0,30,9,2
30.0,43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33,0,0,0,0,0,0,1,33,10,2
43.0,32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31,0,0,0,0,1,0,0,31,11,2
32.0,59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47,1,0,0,0,0,0,0,47,12,2
59.0,28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33,0,0,1,0,0,0,0,33,13,2
28.0,30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28,0,0,0,1,0,0,0,28,14,2
30.0,30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80,0,1,0,0,0,0,0,80,15,2
30.0,45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55,0,0,0,0,0,1,0,55,16,2
45.0,54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71,0,0,0,0,0,0,1,71,17,2
54.0,59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63,0,0,0,0,1,0,0,63,18,2
59.0,53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38,1,0,0,0,0,0,0,38,19,2
53.0,63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48,0,0,1,0,0,0,0,48,20,2
63.0,49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48.0,30,0,0,0,1,0,0,0,30,21,2
49.0,32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48.0,30.0,33,0,1,0,0,0,0,0,33,22,2
32.0,28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48.0,30.0,33.0,31,0,0,0,0,0,1,0,31,23,2
28.0,34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48.0,30.0,33.0,31.0,29,0,0,0,0,0,0,1,29,24,2
34.0,31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48.0,30.0,33.0,31.0,29.0,29,0,0,0,0,1,0,0,29,25,2
31.0,40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48.0,30.0,33.0,31.0,29.0,29.0,32,1,0,0,0,0,0,0,32,26,2
40.0,36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48.0,30.0,33.0,31.0,29.0,29.0,32.0,43,0,0,1,0,0,0,0,43,27,2
36.0,31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48.0,30.0,33.0,31.0,29.0,29.0,32.0,43.0,61,0,0,0,1,0,0,0,61,28,2
31.0,29.0,28.0,33.0,40.0,55.0,43.0,28.0,30.0,33.0,31.0,47.0,33.0,28.0,80.0,55.0,71.0,63.0,38.0,48.0,30.0,33.0,31.0,29.0,29.0,32.0,43.0,61.0,34,0,1,0,0,0,0,0,34,29,2
