lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,18.0,46.0,40.0,41.0,59.0,44.0,29.0,17.0,52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38,0,0,1,0,0,0,0,38,30,1
18.0,46.0,40.0,41.0,59.0,44.0,29.0,17.0,52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43,0,0,0,1,0,0,0,43,31,1
46.0,40.0,41.0,59.0,44.0,29.0,17.0,52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58,0,1,0,0,0,0,0,58,1,2
40.0,41.0,59.0,44.0,29.0,17.0,52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53,0,0,0,0,0,1,0,53,2,2
41.0,59.0,44.0,29.0,17.0,52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22,0,0,0,0,0,0,1,22,3,2
59.0,44.0,29.0,17.0,52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35,0,0,0,0,1,0,0,35,4,2
44.0,29.0,17.0,52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46,1,0,0,0,0,0,0,46,5,2
29.0,17.0,52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52,0,0,1,0,0,0,0,52,6,2
17.0,52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13,0,0,0,1,0,0,0,13,7,2
52.0,40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20,0,1,0,0,0,0,0,20,8,2
40.0,39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18,0,0,0,0,0,1,0,18,9,2
39.0,37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20,0,0,0,0,0,0,1,20,10,2
37.0,67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31,0,0,0,0,1,0,0,31,11,2
67.0,31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35,1,0,0,0,0,0,0,35,12,2
31.0,16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18,0,0,1,0,0,0,0,18,13,2
16.0,24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18.0,34,0,0,0,1,0,0,0,34,14,2
24.0,47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18.0,34.0,70,0,1,0,0,0,0,0,70,15,2
47.0,62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18.0,34.0,70.0,73,0,0,0,0,0,1,0,73,16,2
62.0,73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18.0,34.0,70.0,73.0,50,0,0,0,0,0,0,1,50,17,2
73.0,54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18.0,34.0,70.0,73.0,50.0,62,0,0,0,0,1,0,0,62,18,2
54.0,48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18.0,34.0,70.0,73.0,50.0,62.0,31,1,0,0,0,0,0,0,31,19,2
48.0,77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18.0,34.0,70.0,73.0,50.0,62.0,31.0,17,0,0,1,0,0,0,0,17,20,2
77.0,67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18.0,34.0,70.0,73.0,50.0,62.0,31.0,17.0,29,0,0,0,1,0,0,0,29,21,2
67.0,17.0,31.0,19.0,40.0,38.0,43.0,58.0,53.0,22.0,35.0,46.0,52.0,13.0,20.0,18.0,20.0,31.0,35.0,18.0,34.0,70.0,73.0,50.0,62.0,31.0,17.0,29.0,46,0,1,0,0,0,0,0,46,22,2
