lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,31.0,24.0,28.0,31.0,42.0,46.0,37.0,25.0,21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44,0,0,0,0,0,0,1,44,30,3
31.0,24.0,28.0,31.0,42.0,46.0,37.0,25.0,21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40,0,0,0,0,1,0,0,40,31,3
24.0,28.0,31.0,42.0,46.0,37.0,25.0,21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37,1,0,0,0,0,0,0,37,1,4
28.0,31.0,42.0,46.0,37.0,25.0,21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41,0,0,1,0,0,0,0,41,2,4
31.0,42.0,46.0,37.0,25.0,21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39,0,0,0,1,0,0,0,39,3,4
42.0,46.0,37.0,25.0,21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37,0,1,0,0,0,0,0,37,4,4
46.0,37.0,25.0,21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41,0,0,0,0,0,1,0,41,5,4
37.0,25.0,21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44,0,0,0,0,0,0,1,44,6,4
25.0,21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31,0,0,0,0,1,0,0,31,7,4
21.0,27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32,1,0,0,0,0,0,0,32,8,4
27.0,32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38,0,0,1,0,0,0,0,38,9,4
32.0,39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42,0,0,0,1,0,0,0,42,10,4
39.0,61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35,0,1,0,0,0,0,0,35,11,4
61.0,38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41,0,0,0,0,0,1,0,41,12,4
38.0,41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45,0,0,0,0,0,0,1,45,13,4
41.0,39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58,0,0,0,0,1,0,0,58,14,4
39.0,31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54,1,0,0,0,0,0,0,54,15,4
31.0,34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54,0,0,1,0,0,0,0,54,16,4
34.0,36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64,0,0,0,1,0,0,0,64,17,4
36.0,46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84,0,1,0,0,0,0,0,84,18,4
46.0,43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80,0,0,0,0,0,1,0,80,19,4
43.0,38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71,0,0,0,0,0,0,1,71,20,4
38.0,32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36,0,0,0,0,1,0,0,36,21,4
32.0,40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37,1,0,0,0,0,0,0,37,22,4
40.0,35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32,0,0,1,0,0,0,0,32,23,4
35.0,38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48,0,0,0,1,0,0,0,48,24,4
38.0,44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58,0,1,0,0,0,0,0,58,25,4
44.0,44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42,0,0,0,0,0,1,0,42,26,4
44.0,40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31,0,0,0,0,0,0,1,31,27,4
40.0,37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42,0,0,0,0,1,0,0,42,28,4
37.0,41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34,1,0,0,0,0,0,0,34,29,4
41.0,39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28,0,0,1,0,0,0,0,28,30,4
39.0,37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39,0,0,0,1,0,0,0,39,1,5
37.0,41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30,0,1,0,0,0,0,0,30,2,5
41.0,44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39,0,0,0,0,0,1,0,39,3,5
44.0,31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40,0,0,0,0,0,0,1,40,4,5
31.0,32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34,0,0,0,0,1,0,0,34,5,5
32.0,38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49,1,0,0,0,0,0,0,49,6,5
38.0,42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61,0,0,1,0,0,0,0,61,7,5
42.0,35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61.0,40,0,0,0,1,0,0,0,40,8,5
35.0,41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61.0,40.0,42,0,1,0,0,0,0,0,42,9,5
41.0,45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61.0,40.0,42.0,41,0,0,0,0,0,1,0,41,10,5
45.0,58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61.0,40.0,42.0,41.0,38,0,0,0,0,0,0,1,38,11,5
58.0,54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61.0,40.0,42.0,41.0,38.0,43,0,0,0,0,1,0,0,43,12,5
54.0,54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61.0,40.0,42.0,41.0,38.0,43.0,39,1,0,0,0,0,0,0,39,13,5
54.0,64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61.0,40.0,42.0,41.0,38.0,43.0,39.0,31,0,0,1,0,0,0,0,31,14,5
64.0,84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61.0,40.0,42.0,41.0,38.0,43.0,39.0,31.0,43,0,0,0,1,0,0,0,43,15,5
84.0,80.0,71.0,36.0,37.0,32.0,48.0,58.0,42.0,31.0,42.0,34.0,28.0,39.0,30.0,39.0,40.0,34.0,49.0,61.0,40.0,42.0,41.0,38.0,43.0,39.0,31.0,43.0,34,0,1,0,0,0,0,0,34,16,5
