lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
27.0,31.0,28.0,28.0,32.0,23.0,67.0,31.0,30.0,31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39,0,0,0,1,0,0,0,39,31,1
31.0,28.0,28.0,32.0,23.0,67.0,31.0,30.0,31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55,0,1,0,0,0,0,0,55,1,2
28.0,28.0,32.0,23.0,67.0,31.0,30.0,31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24,0,0,0,0,0,1,0,24,2,2
28.0,32.0,23.0,67.0,31.0,30.0,31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34,0,0,0,0,0,0,1,34,3,2
32.0,23.0,67.0,31.0,30.0,31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35,0,0,0,0,1,0,0,35,4,2
23.0,67.0,31.0,30.0,31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39,1,0,0,0,0,0,0,39,5,2
67.0,31.0,30.0,31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38,0,0,1,0,0,0,0,38,6,2
31.0,30.0,31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44,0,0,0,1,0,0,0,44,7,2
30.0,31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37,0,1,0,0,0,0,0,37,8,2
31.0,36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37,0,0,0,0,0,1,0,37,9,2
36.0,33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35,0,0,0,0,0,0,1,35,10,2
33.0,33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48,0,0,0,0,1,0,0,48,11,2
33.0,26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48,1,0,0,0,0,0,0,48,12,2
26.0,33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36,0,0,1,0,0,0,0,36,13,2
33.0,30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43,0,0,0,1,0,0,0,43,14,2
30.0,33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30,0,1,0,0,0,0,0,30,15,2
33.0,26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30.0,43,0,0,0,0,0,1,0,43,16,2
26.0,16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30.0,43.0,36,0,0,0,0,0,0,1,36,17,2
16.0,31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30.0,43.0,36.0,45,0,0,0,0,1,0,0,45,18,2
31.0,28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30.0,43.0,36.0,45.0,39,1,0,0,0,0,0,0,39,19,2
28.0,31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30.0,43.0,36.0,45.0,39.0,36,0,0,1,0,0,0,0,36,20,2
31.0,31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30.0,43.0,36.0,45.0,39.0,36.0,44,0,0,0,1,0,0,0,44,21,2
31.0,28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30.0,43.0,36.0,45.0,39.0,36.0,44.0,22,0,1,0,0,0,0,0,22,22,2
28.0,30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30.0,43.0,36.0,45.0,39.0,36.0,44.0,22.0,25,0,0,0,0,0,1,0,25,23,2
30.0,33.0,63.0,44.0,39.0,55.0,24.0,34.0,35.0,39.0,38.0,44.0,37.0,37.0,35.0,48.0,48.0,36.0,43.0,30.0,43.0,36.0,45.0,39.0,36.0,44.0,22.0,25.0,40,0,0,0,0,0,0,1,40,24,2
