lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,9.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,15,2
0.0,0.0,0.0,0.0,19.0,0.0,1.0,9.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,1,16,2
0.0,0.0,0.0,19.0,0.0,1.0,9.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,1,17,2
0.0,0.0,19.0,0.0,1.0,9.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,1,0,0,0,0,1,18,2
0.0,19.0,0.0,1.0,9.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10,0,0,0,1,0,0,0,10,19,2
19.0,0.0,1.0,9.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0,0,1,0,0,0,0,0,0,20,2
0.0,1.0,9.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0,0,0,0,0,0,1,0,0,21,2
1.0,9.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1,0,0,0,0,0,0,1,1,22,2
9.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1,23,2
0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,24,2
0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,25,2
3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77,0,0,0,1,0,0,0,77,26,2
3.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0,0,1,0,0,0,0,0,0,27,2
4.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0.0,0,0,0,0,0,0,1,0,0,28,2
1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,3
0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,2,3
0.0,0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,23,1,0,0,0,0,0,0,23,3,3
0.0,0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,23.0,36,0,0,1,0,0,0,0,36,4,3
0.0,76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,23.0,36.0,47,0,0,0,1,0,0,0,47,5,3
76.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,23.0,36.0,47.0,0,0,1,0,0,0,0,0,0,6,3
0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,23.0,36.0,47.0,0.0,0,0,0,0,0,0,1,0,0,7,3
0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,23.0,36.0,47.0,0.0,0.0,72,0,0,0,0,0,0,1,72,8,3
