lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,19.0,28.0,39.0,44.0,61.0,48.0,23.0,13.0,21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42,0,0,1,0,0,0,0,42,30,1
19.0,28.0,39.0,44.0,61.0,48.0,23.0,13.0,21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58,0,0,0,1,0,0,0,58,31,1
28.0,39.0,44.0,61.0,48.0,23.0,13.0,21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30,0,1,0,0,0,0,0,30,1,2
39.0,44.0,61.0,48.0,23.0,13.0,21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18,0,0,0,0,0,1,0,18,2,2
44.0,61.0,48.0,23.0,13.0,21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26,0,0,0,0,0,0,1,26,3,2
61.0,48.0,23.0,13.0,21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22,0,0,0,0,1,0,0,22,4,2
48.0,23.0,13.0,21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40,1,0,0,0,0,0,0,40,5,2
23.0,13.0,21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53,0,0,1,0,0,0,0,53,6,2
13.0,21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33,0,0,0,1,0,0,0,33,7,2
21.0,28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26,0,1,0,0,0,0,0,26,8,2
28.0,22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15,0,0,0,0,0,1,0,15,9,2
22.0,53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17,0,0,0,0,0,0,1,17,10,2
53.0,45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21,0,0,0,0,1,0,0,21,11,2
45.0,21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22,1,0,0,0,0,0,0,22,12,2
21.0,23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29,0,0,1,0,0,0,0,29,13,2
23.0,20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30,0,0,0,1,0,0,0,30,14,2
20.0,25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52,0,1,0,0,0,0,0,52,15,2
25.0,44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57,0,0,0,0,0,1,0,57,16,2
44.0,53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32,0,0,0,0,0,0,1,32,17,2
53.0,81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51,0,0,0,0,1,0,0,51,18,2
81.0,18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24,1,0,0,0,0,0,0,24,19,2
18.0,45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19,0,0,1,0,0,0,0,19,20,2
45.0,67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20,0,0,0,1,0,0,0,20,21,2
67.0,19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18,0,1,0,0,0,0,0,18,22,2
19.0,15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28,0,0,0,0,0,1,0,28,23,2
15.0,30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13,0,0,0,0,0,0,1,13,24,2
30.0,21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19,0,0,0,0,1,0,0,19,25,2
21.0,42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19.0,25,1,0,0,0,0,0,0,25,26,2
42.0,58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19.0,25.0,45,0,0,1,0,0,0,0,45,27,2
58.0,30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19.0,25.0,45.0,47,0,0,0,1,0,0,0,47,28,2
30.0,18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19.0,25.0,45.0,47.0,18,0,1,0,0,0,0,0,18,29,2
18.0,26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19.0,25.0,45.0,47.0,18.0,15,0,0,0,0,0,1,0,15,1,3
26.0,22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19.0,25.0,45.0,47.0,18.0,15.0,25,0,0,0,0,0,0,1,25,2,3
22.0,40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19.0,25.0,45.0,47.0,18.0,15.0,25.0,52,0,0,0,0,1,0,0,52,3,3
40.0,53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19.0,25.0,45.0,47.0,18.0,15.0,25.0,52.0,51,1,0,0,0,0,0,0,51,4,3
53.0,33.0,26.0,15.0,17.0,21.0,22.0,29.0,30.0,52.0,57.0,32.0,51.0,24.0,19.0,20.0,18.0,28.0,13.0,19.0,25.0,45.0,47.0,18.0,15.0,25.0,52.0,51.0,56,0,0,1,0,0,0,0,56,5,3
