lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
9.0,8.0,6.0,8.0,7.0,5.0,13.0,31.0,25.0,10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54,0,0,0,0,1,0,0,54,4,2
8.0,6.0,8.0,7.0,5.0,13.0,31.0,25.0,10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54.0,50,1,0,0,0,0,0,0,50,5,2
6.0,8.0,7.0,5.0,13.0,31.0,25.0,10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54.0,50.0,18,0,0,1,0,0,0,0,18,6,2
8.0,7.0,5.0,13.0,31.0,25.0,10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54.0,50.0,18.0,12,0,0,0,1,0,0,0,12,7,2
7.0,5.0,13.0,31.0,25.0,10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54.0,50.0,18.0,12.0,20,0,1,0,0,0,0,0,20,8,2
5.0,13.0,31.0,25.0,10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54.0,50.0,18.0,12.0,20.0,10,0,0,0,0,0,1,0,10,9,2
13.0,31.0,25.0,10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54.0,50.0,18.0,12.0,20.0,10.0,55,0,0,0,0,0,0,1,55,10,2
31.0,25.0,10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54.0,50.0,18.0,12.0,20.0,10.0,55.0,20,0,0,0,0,1,0,0,20,11,2
25.0,10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54.0,50.0,18.0,12.0,20.0,10.0,55.0,20.0,56,1,0,0,0,0,0,0,56,12,2
10.0,10.0,6.0,7.0,7.0,7.0,14.0,12.0,17.0,38.0,23.0,44.0,48.0,34.0,19.0,16.0,8.0,36.0,13.0,54.0,50.0,18.0,12.0,20.0,10.0,55.0,20.0,56.0,6,0,0,1,0,0,0,0,6,13,2
