lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
16.0,57.0,13.0,30.0,37.0,20.0,72.0,49.0,38.0,39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35,0,0,0,1,0,0,0,35,20,3
57.0,13.0,30.0,37.0,20.0,72.0,49.0,38.0,39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39,0,1,0,0,0,0,0,39,21,3
13.0,30.0,37.0,20.0,72.0,49.0,38.0,39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42,0,0,0,0,0,1,0,42,22,3
30.0,37.0,20.0,72.0,49.0,38.0,39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45,0,0,0,0,0,0,1,45,23,3
37.0,20.0,72.0,49.0,38.0,39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48,0,0,0,0,1,0,0,48,24,3
20.0,72.0,49.0,38.0,39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38,1,0,0,0,0,0,0,38,25,3
72.0,49.0,38.0,39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37,0,0,1,0,0,0,0,37,26,3
49.0,38.0,39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36,0,0,0,1,0,0,0,36,27,3
38.0,39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40,0,1,0,0,0,0,0,40,28,3
39.0,39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42,0,0,0,0,0,1,0,42,29,3
39.0,23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44,0,0,0,0,0,0,1,44,30,3
23.0,48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44.0,46,0,0,0,0,1,0,0,46,31,3
48.0,23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44.0,46.0,40,1,0,0,0,0,0,0,40,1,4
23.0,54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44.0,46.0,40.0,34,0,0,1,0,0,0,0,34,2,4
54.0,17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44.0,46.0,40.0,34.0,40,0,0,0,1,0,0,0,40,3,4
17.0,25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44.0,46.0,40.0,34.0,40.0,31,0,1,0,0,0,0,0,31,4,4
25.0,28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44.0,46.0,40.0,34.0,40.0,31.0,36,0,0,0,0,0,1,0,36,5,4
28.0,38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44.0,46.0,40.0,34.0,40.0,31.0,36.0,44,0,0,0,0,0,0,1,44,6,4
38.0,58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44.0,46.0,40.0,34.0,40.0,31.0,36.0,44.0,40,0,0,0,0,1,0,0,40,7,4
58.0,50.0,36.0,31.0,32.0,35.0,34.0,39.0,32.0,35.0,39.0,42.0,45.0,48.0,38.0,37.0,36.0,40.0,42.0,44.0,46.0,40.0,34.0,40.0,31.0,36.0,44.0,40.0,36,1,0,0,0,0,0,0,36,8,4
