lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,37.0,36.0,39.0,34.0,31.0,35.0,31.0,26.0,28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38,0,0,0,0,1,0,0,38,18,2
37.0,36.0,39.0,34.0,31.0,35.0,31.0,26.0,28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34,1,0,0,0,0,0,0,34,19,2
36.0,39.0,34.0,31.0,35.0,31.0,26.0,28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41,0,0,1,0,0,0,0,41,20,2
39.0,34.0,31.0,35.0,31.0,26.0,28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31,0,0,0,1,0,0,0,31,21,2
34.0,31.0,35.0,31.0,26.0,28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38,0,1,0,0,0,0,0,38,22,2
31.0,35.0,31.0,26.0,28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0,0,0,0,0,0,1,0,0,23,2
35.0,31.0,26.0,28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0,0,0,0,0,0,0,1,0,24,2
31.0,26.0,28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0,0,0,0,0,1,0,0,0,25,2
26.0,28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,26,2
28.0,44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,27,2
44.0,46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,28,2
46.0,36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,29,2
36.0,32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,0,0,0,0,1,0,37,1,3
32.0,36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33,0,0,0,0,0,0,1,33,2,3
36.0,37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38,0,0,0,0,1,0,0,38,3,3
37.0,32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36,1,0,0,0,0,0,0,36,4,3
32.0,34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38,0,0,1,0,0,0,0,38,5,3
34.0,41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43,0,0,0,1,0,0,0,43,6,3
41.0,33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32,0,1,0,0,0,0,0,32,7,3
33.0,31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42,0,0,0,0,0,1,0,42,8,3
31.0,36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49,0,0,0,0,0,0,1,49,9,3
36.0,37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25,0,0,0,0,1,0,0,25,10,3
37.0,34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31,1,0,0,0,0,0,0,31,11,3
34.0,31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42,0,0,1,0,0,0,0,42,12,3
31.0,29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40,0,0,0,1,0,0,0,40,13,3
29.0,33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40.0,36,0,1,0,0,0,0,0,36,14,3
33.0,33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40.0,36.0,34,0,0,0,0,0,1,0,34,15,3
33.0,38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40.0,36.0,34.0,32,0,0,0,0,0,0,1,32,16,3
38.0,34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40.0,36.0,34.0,32.0,39,0,0,0,0,1,0,0,39,17,3
34.0,41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40.0,36.0,34.0,32.0,39.0,36,1,0,0,0,0,0,0,36,18,3
41.0,31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40.0,36.0,34.0,32.0,39.0,36.0,40,0,0,1,0,0,0,0,40,19,3
31.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40.0,36.0,34.0,32.0,39.0,36.0,40.0,40,0,0,0,1,0,0,0,40,20,3
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40.0,36.0,34.0,32.0,39.0,36.0,40.0,40.0,41,0,1,0,0,0,0,0,41,21,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,38.0,36.0,38.0,43.0,32.0,42.0,49.0,25.0,31.0,42.0,40.0,36.0,34.0,32.0,39.0,36.0,40.0,40.0,41.0,42,0,0,0,0,0,1,0,42,22,3
