lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
44.0,36.0,50.0,50.0,31.0,26.0,37.0,32.0,36.0,23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41,0,0,0,0,0,1,0,41,19,4
36.0,50.0,50.0,31.0,26.0,37.0,32.0,36.0,23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41.0,42,0,0,0,0,0,0,1,42,20,4
50.0,50.0,31.0,26.0,37.0,32.0,36.0,23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41.0,42.0,50,0,0,0,0,1,0,0,50,21,4
50.0,31.0,26.0,37.0,32.0,36.0,23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41.0,42.0,50.0,43,1,0,0,0,0,0,0,43,22,4
31.0,26.0,37.0,32.0,36.0,23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41.0,42.0,50.0,43.0,39,0,0,1,0,0,0,0,39,23,4
26.0,37.0,32.0,36.0,23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41.0,42.0,50.0,43.0,39.0,42,0,0,0,1,0,0,0,42,24,4
37.0,32.0,36.0,23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41.0,42.0,50.0,43.0,39.0,42.0,36,0,1,0,0,0,0,0,36,25,4
32.0,36.0,23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41.0,42.0,50.0,43.0,39.0,42.0,36.0,35,0,0,0,0,0,1,0,35,26,4
36.0,23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41.0,42.0,50.0,43.0,39.0,42.0,36.0,35.0,43,0,0,0,0,0,0,1,43,27,4
23.0,35.0,39.0,36.0,39.0,41.0,44.0,43.0,40.0,39.0,40.0,34.0,32.0,35.0,40.0,44.0,42.0,47.0,100.0,41.0,42.0,50.0,43.0,39.0,42.0,36.0,35.0,43.0,38,0,0,0,0,1,0,0,38,28,4
