lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
15.0,56.0,6.0,12.0,18.0,23.0,21.0,70.0,44.0,55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13,0,1,0,0,0,0,0,13,28,3
56.0,6.0,12.0,18.0,23.0,21.0,70.0,44.0,55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26,0,0,0,0,1,0,0,26,31,3
6.0,12.0,18.0,23.0,21.0,70.0,44.0,55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14,0,0,0,1,0,0,0,14,3,4
12.0,18.0,23.0,21.0,70.0,44.0,55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25,0,0,0,0,0,0,1,25,6,4
18.0,23.0,21.0,70.0,44.0,55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14,0,0,1,0,0,0,0,14,9,4
23.0,21.0,70.0,44.0,55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20,0,0,0,0,0,1,0,20,12,4
21.0,70.0,44.0,55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25,1,0,0,0,0,0,0,25,15,4
70.0,44.0,55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39,0,1,0,0,0,0,0,39,18,4
44.0,55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50,0,0,0,0,1,0,0,50,21,4
55.0,11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32,0,0,0,1,0,0,0,32,24,4
11.0,40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59,0,0,0,0,0,0,1,59,27,4
40.0,15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36,0,0,1,0,0,0,0,36,30,4
15.0,26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18,0,0,0,0,0,1,0,18,3,5
26.0,29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20,1,0,0,0,0,0,0,20,6,5
29.0,24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48,0,1,0,0,0,0,0,48,9,5
24.0,33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31,0,0,0,0,1,0,0,31,12,5
33.0,11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12,0,0,0,1,0,0,0,12,15,5
11.0,18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33,0,0,0,0,0,0,1,33,18,5
18.0,47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15,0,0,1,0,0,0,0,15,21,5
47.0,15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26,0,0,0,0,0,1,0,26,24,5
15.0,39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55,1,0,0,0,0,0,0,55,27,5
39.0,55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33,0,1,0,0,0,0,0,33,30,5
55.0,38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28,0,0,0,0,1,0,0,28,2,6
38.0,36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13,0,0,0,1,0,0,0,13,5,6
36.0,46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13.0,16,0,0,0,0,0,0,1,16,8,6
46.0,26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13.0,16.0,47,0,0,1,0,0,0,0,47,11,6
26.0,39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13.0,16.0,47.0,42,0,0,0,0,0,1,0,42,14,6
39.0,13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13.0,16.0,47.0,42.0,20,1,0,0,0,0,0,0,20,17,6
13.0,26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13.0,16.0,47.0,42.0,20.0,29,0,1,0,0,0,0,0,29,20,6
26.0,14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13.0,16.0,47.0,42.0,20.0,29.0,44,0,0,0,0,1,0,0,44,23,6
14.0,25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13.0,16.0,47.0,42.0,20.0,29.0,44.0,42,0,0,0,1,0,0,0,42,26,6
25.0,14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13.0,16.0,47.0,42.0,20.0,29.0,44.0,42.0,31,0,0,0,0,0,0,1,31,29,6
14.0,20.0,25.0,39.0,50.0,32.0,59.0,36.0,18.0,20.0,48.0,31.0,12.0,33.0,15.0,26.0,55.0,33.0,28.0,13.0,16.0,47.0,42.0,20.0,29.0,44.0,42.0,31.0,39,0,0,1,0,0,0,0,39,2,7
