lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
9.0,12.0,13.0,8.0,9.0,9.0,9.0,4.0,11.0,11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13,0,0,1,0,0,0,0,13,30,1
12.0,13.0,8.0,9.0,9.0,9.0,4.0,11.0,11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8,0,0,0,1,0,0,0,8,31,1
13.0,8.0,9.0,9.0,9.0,4.0,11.0,11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14,0,1,0,0,0,0,0,14,1,2
8.0,9.0,9.0,9.0,4.0,11.0,11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6,0,0,0,0,0,1,0,6,2,2
9.0,9.0,9.0,4.0,11.0,11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12,0,0,0,0,0,0,1,12,3,2
9.0,9.0,4.0,11.0,11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16,0,0,0,0,1,0,0,16,4,2
9.0,4.0,11.0,11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15,1,0,0,0,0,0,0,15,5,2
4.0,11.0,11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8,0,0,1,0,0,0,0,8,6,2
11.0,11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10,0,0,0,1,0,0,0,10,7,2
11.0,14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6,0,1,0,0,0,0,0,6,8,2
14.0,18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10,0,0,0,0,0,1,0,10,9,2
18.0,12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16,0,0,0,0,0,0,1,16,10,2
12.0,8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16,0,0,0,0,1,0,0,16,11,2
8.0,11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17,1,0,0,0,0,0,0,17,12,2
11.0,11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7,0,0,1,0,0,0,0,7,13,2
11.0,9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10,0,0,0,1,0,0,0,10,14,2
9.0,10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15,0,1,0,0,0,0,0,15,15,2
10.0,8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16,0,0,0,0,0,1,0,16,16,2
8.0,9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16,0,0,0,0,0,0,1,16,17,2
9.0,5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11,0,0,0,0,1,0,0,11,18,2
5.0,9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10,1,0,0,0,0,0,0,10,19,2
9.0,10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9,0,0,1,0,0,0,0,9,20,2
10.0,7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9,0,0,0,1,0,0,0,9,21,2
7.0,16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6,0,1,0,0,0,0,0,6,22,2
16.0,17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6,0,0,0,0,0,1,0,6,23,2
17.0,16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8,0,0,0,0,0,0,1,8,24,2
16.0,9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21,0,0,0,0,1,0,0,21,25,2
9.0,13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14,1,0,0,0,0,0,0,14,26,2
13.0,8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10,0,0,1,0,0,0,0,10,27,2
8.0,14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8,0,0,0,1,0,0,0,8,28,2
14.0,6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18,0,1,0,0,0,0,0,18,29,2
6.0,12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10,0,0,0,0,0,1,0,10,1,3
12.0,16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9,0,0,0,0,0,1,0,9,8,3
16.0,15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10,0,0,0,0,0,0,1,10,9,3
15.0,8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6,0,0,0,0,1,0,0,6,10,3
8.0,10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6,1,0,0,0,0,0,0,6,11,3
10.0,6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6,0,0,1,0,0,0,0,6,12,3
6.0,10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9,0,0,0,1,0,0,0,9,13,3
10.0,16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24,0,1,0,0,0,0,0,24,14,3
16.0,16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11,0,0,0,0,0,1,0,11,15,3
16.0,17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19,0,0,0,0,0,0,1,19,16,3
17.0,7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7,0,0,0,0,1,0,0,7,17,3
7.0,10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8,1,0,0,0,0,0,0,8,18,3
10.0,15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11,0,0,1,0,0,0,0,11,19,3
15.0,16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15,0,0,0,1,0,0,0,15,20,3
16.0,16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33,0,1,0,0,0,0,0,33,21,3
16.0,11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13,0,0,0,0,0,1,0,13,22,3
11.0,10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10,0,0,0,0,0,0,1,10,23,3
10.0,9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8,0,0,0,0,1,0,0,8,24,3
9.0,9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8.0,21,1,0,0,0,0,0,0,21,25,3
9.0,6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8.0,21.0,9,0,0,1,0,0,0,0,9,26,3
6.0,6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8.0,21.0,9.0,11,0,0,0,1,0,0,0,11,27,3
6.0,8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8.0,21.0,9.0,11.0,12,0,1,0,0,0,0,0,12,28,3
8.0,21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8.0,21.0,9.0,11.0,12.0,6,0,0,0,0,0,1,0,6,29,3
21.0,14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8.0,21.0,9.0,11.0,12.0,6.0,8,0,0,0,0,0,1,0,8,10,5
14.0,10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8.0,21.0,9.0,11.0,12.0,6.0,8.0,6,0,0,0,0,0,0,1,6,11,5
10.0,8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8.0,21.0,9.0,11.0,12.0,6.0,8.0,6.0,6,0,0,0,0,1,0,0,6,12,5
8.0,18.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,24.0,11.0,19.0,7.0,8.0,11.0,15.0,33.0,13.0,10.0,8.0,21.0,9.0,11.0,12.0,6.0,8.0,6.0,6.0,8,1,0,0,0,0,0,0,8,13,5
