lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
4.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8,1,0,0,0,0,0,0,8,15,4
1.0,0.0,3.0,0.0,3.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16,0,1,0,0,0,0,0,16,18,4
0.0,3.0,0.0,3.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13,0,0,0,0,1,0,0,13,21,4
3.0,0.0,3.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3,0,0,0,1,0,0,0,3,24,4
0.0,3.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5,0,0,0,0,0,0,1,5,27,4
3.0,2.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8,0,0,1,0,0,0,0,8,30,4
2.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38,0,0,0,1,0,0,0,38,1,5
1.0,3.0,5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45,0,1,0,0,0,0,0,45,2,5
3.0,5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36,0,0,0,0,0,1,0,36,3,5
5.0,4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36.0,29,0,0,0,0,0,0,1,29,4,5
4.0,2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36.0,29.0,34,0,0,0,0,1,0,0,34,5,5
2.0,2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36.0,29.0,34.0,44,1,0,0,0,0,0,0,44,6,5
2.0,2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36.0,29.0,34.0,44.0,51,0,0,1,0,0,0,0,51,7,5
2.0,6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36.0,29.0,34.0,44.0,51.0,41,0,0,0,1,0,0,0,41,8,5
6.0,3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36.0,29.0,34.0,44.0,51.0,41.0,42,0,1,0,0,0,0,0,42,9,5
3.0,7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36.0,29.0,34.0,44.0,51.0,41.0,42.0,41,0,0,0,0,0,1,0,41,10,5
7.0,1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36.0,29.0,34.0,44.0,51.0,41.0,42.0,41.0,48,0,0,0,0,0,0,1,48,11,5
1.0,2.0,8.0,0.0,3.0,1.0,10.0,13.0,11.0,19.0,3.0,8.0,16.0,13.0,3.0,5.0,8.0,38.0,45.0,36.0,29.0,34.0,44.0,51.0,41.0,42.0,41.0,48.0,54,0,0,0,0,1,0,0,54,12,5
