lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
23.0,32.0,40.0,39.0,43.0,38.0,40.0,23.0,20.0,21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10,0,0,1,0,0,0,0,10,30,1
32.0,40.0,39.0,43.0,38.0,40.0,23.0,20.0,21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10.0,19,0,0,0,1,0,0,0,19,31,1
40.0,39.0,43.0,38.0,40.0,23.0,20.0,21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10.0,19.0,21,0,1,0,0,0,0,0,21,1,2
39.0,43.0,38.0,40.0,23.0,20.0,21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10.0,19.0,21.0,19,0,0,0,0,0,1,0,19,2,2
43.0,38.0,40.0,23.0,20.0,21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10.0,19.0,21.0,19.0,18,0,0,0,0,0,0,1,18,3,2
38.0,40.0,23.0,20.0,21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10.0,19.0,21.0,19.0,18.0,15,0,0,0,0,1,0,0,15,4,2
40.0,23.0,20.0,21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10.0,19.0,21.0,19.0,18.0,15.0,16,1,0,0,0,0,0,0,16,5,2
23.0,20.0,21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10.0,19.0,21.0,19.0,18.0,15.0,16.0,20,0,0,1,0,0,0,0,20,6,2
20.0,21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10.0,19.0,21.0,19.0,18.0,15.0,16.0,20.0,23,0,0,0,1,0,0,0,23,7,2
21.0,23.0,15.0,19.0,15.0,12.0,14.0,15.0,13.0,11.0,11.0,15.0,14.0,16.0,16.0,25.0,28.0,14.0,14.0,10.0,19.0,21.0,19.0,18.0,15.0,16.0,20.0,23.0,22,0,1,0,0,0,0,0,22,8,2
