lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
48.0,42.0,33.0,37.0,31.0,75.0,70.0,48.0,34.0,57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28,0,0,1,0,0,0,0,28,30,1
42.0,33.0,37.0,31.0,75.0,70.0,48.0,34.0,57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28.0,27,0,0,0,1,0,0,0,27,31,1
33.0,37.0,31.0,75.0,70.0,48.0,34.0,57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28.0,27.0,40,0,1,0,0,0,0,0,40,1,2
37.0,31.0,75.0,70.0,48.0,34.0,57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28.0,27.0,40.0,39,0,0,0,0,0,1,0,39,2,2
31.0,75.0,70.0,48.0,34.0,57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28.0,27.0,40.0,39.0,20,0,0,0,0,0,0,1,20,3,2
75.0,70.0,48.0,34.0,57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28.0,27.0,40.0,39.0,20.0,58,0,0,0,0,1,0,0,58,4,2
70.0,48.0,34.0,57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28.0,27.0,40.0,39.0,20.0,58.0,56,1,0,0,0,0,0,0,56,5,2
48.0,34.0,57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28.0,27.0,40.0,39.0,20.0,58.0,56.0,61,0,0,1,0,0,0,0,61,6,2
34.0,57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28.0,27.0,40.0,39.0,20.0,58.0,56.0,61.0,61,0,0,0,1,0,0,0,61,7,2
57.0,41.0,13.0,56.0,44.0,63.0,64.0,36.0,16.0,50.0,34.0,9.0,11.0,28.0,33.0,38.0,65.0,73.0,24.0,28.0,27.0,40.0,39.0,20.0,58.0,56.0,61.0,61.0,42,0,1,0,0,0,0,0,42,8,2
