lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
51.0,62.0,31.0,51.0,81.0,107.0,80.0,66.0,31.0,41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51,0,0,1,0,0,0,0,51,30,1
62.0,31.0,51.0,81.0,107.0,80.0,66.0,31.0,41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78,0,0,0,1,0,0,0,78,31,1
31.0,51.0,81.0,107.0,80.0,66.0,31.0,41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85,0,1,0,0,0,0,0,85,1,2
51.0,81.0,107.0,80.0,66.0,31.0,41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60,0,0,0,0,0,1,0,60,2,2
81.0,107.0,80.0,66.0,31.0,41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60.0,28,0,0,0,0,0,0,1,28,3,2
107.0,80.0,66.0,31.0,41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60.0,28.0,38,0,0,0,0,1,0,0,38,4,2
80.0,66.0,31.0,41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60.0,28.0,38.0,33,1,0,0,0,0,0,0,33,5,2
66.0,31.0,41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60.0,28.0,38.0,33.0,60,0,0,1,0,0,0,0,60,6,2
31.0,41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60.0,28.0,38.0,33.0,60.0,73,0,0,0,1,0,0,0,73,7,2
41.0,56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60.0,28.0,38.0,33.0,60.0,73.0,54,0,1,0,0,0,0,0,54,8,2
56.0,53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60.0,28.0,38.0,33.0,60.0,73.0,54.0,56,0,0,0,0,0,1,0,56,9,2
53.0,69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60.0,28.0,38.0,33.0,60.0,73.0,54.0,56.0,60,0,0,0,0,0,0,1,60,10,2
69.0,99.0,67.0,48.0,45.0,41.0,38.0,47.0,33.0,33.0,44.0,88.0,113.0,58.0,73.0,75.0,51.0,78.0,85.0,60.0,28.0,38.0,33.0,60.0,73.0,54.0,56.0,60.0,38,0,0,0,0,1,0,0,38,11,2
