lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
18.0,12.0,16.0,52.0,20.0,50.0,19.0,28.0,21.0,11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21,0,0,0,0,0,0,1,21,6,4
12.0,16.0,52.0,20.0,50.0,19.0,28.0,21.0,11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13,0,0,1,0,0,0,0,13,9,4
16.0,52.0,20.0,50.0,19.0,28.0,21.0,11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15,0,0,0,0,1,0,0,15,21,4
52.0,20.0,50.0,19.0,28.0,21.0,11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29,0,0,0,1,0,0,0,29,24,4
20.0,50.0,19.0,28.0,21.0,11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24,0,0,0,0,0,0,1,24,27,4
50.0,19.0,28.0,21.0,11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20,0,0,1,0,0,0,0,20,30,4
19.0,28.0,21.0,11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20,0,0,0,0,0,1,0,20,3,5
28.0,21.0,11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18,1,0,0,0,0,0,0,18,6,5
21.0,11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18.0,35,0,1,0,0,0,0,0,35,9,5
11.0,29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18.0,35.0,17,0,0,0,1,0,0,0,17,15,5
29.0,12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18.0,35.0,17.0,26,0,0,0,0,0,0,1,26,18,5
12.0,49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18.0,35.0,17.0,26.0,28,0,0,1,0,0,0,0,28,21,5
49.0,56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18.0,35.0,17.0,26.0,28.0,45,0,0,0,0,0,1,0,45,24,5
56.0,39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18.0,35.0,17.0,26.0,28.0,45.0,30,1,0,0,0,0,0,0,30,27,5
39.0,18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18.0,35.0,17.0,26.0,28.0,45.0,30.0,26,0,1,0,0,0,0,0,26,30,5
18.0,24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18.0,35.0,17.0,26.0,28.0,45.0,30.0,26.0,18,0,0,0,0,1,0,0,18,2,6
24.0,25.0,40.0,36.0,5.0,10.0,8.0,18.0,20.0,19.0,17.0,14.0,21.0,13.0,15.0,29.0,24.0,20.0,20.0,18.0,35.0,17.0,26.0,28.0,45.0,30.0,26.0,18.0,15,0,0,0,1,0,0,0,15,5,6
