lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
25.0,33.0,31.0,33.0,35.0,24.0,24.0,19.0,29.0,27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42,0,0,1,0,0,0,0,42,30,1
33.0,31.0,33.0,35.0,24.0,24.0,19.0,29.0,27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35,0,0,0,1,0,0,0,35,31,1
31.0,33.0,35.0,24.0,24.0,19.0,29.0,27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52,0,1,0,0,0,0,0,52,1,2
33.0,35.0,24.0,24.0,19.0,29.0,27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36,0,0,0,0,0,1,0,36,2,2
35.0,24.0,24.0,19.0,29.0,27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33,0,0,0,0,0,0,1,33,3,2
24.0,24.0,19.0,29.0,27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33.0,31,0,0,0,0,1,0,0,31,4,2
24.0,19.0,29.0,27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33.0,31.0,40,1,0,0,0,0,0,0,40,5,2
19.0,29.0,27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33.0,31.0,40.0,36,0,0,1,0,0,0,0,36,6,2
29.0,27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33.0,31.0,40.0,36.0,38,0,0,0,1,0,0,0,38,7,2
27.0,34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33.0,31.0,40.0,36.0,38.0,32,0,1,0,0,0,0,0,32,8,2
34.0,44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33.0,31.0,40.0,36.0,38.0,32.0,35,0,0,0,0,0,1,0,35,9,2
44.0,40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33.0,31.0,40.0,36.0,38.0,32.0,35.0,39,0,0,0,0,0,0,1,39,10,2
40.0,30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33.0,31.0,40.0,36.0,38.0,32.0,35.0,39.0,45,0,0,0,0,1,0,0,45,11,2
30.0,26.0,31.0,30.0,52.0,34.0,36.0,31.0,27.0,40.0,35.0,26.0,32.0,34.0,40.0,42.0,35.0,52.0,36.0,33.0,31.0,40.0,36.0,38.0,32.0,35.0,39.0,45.0,53,1,0,0,0,0,0,0,53,12,2
