lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
25.0,20.0,10.0,32.0,34.0,64.0,28.0,25.0,7.0,27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32,0,0,1,0,0,0,0,32,30,1
20.0,10.0,32.0,34.0,64.0,28.0,25.0,7.0,27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32.0,30,0,0,0,1,0,0,0,30,31,1
10.0,32.0,34.0,64.0,28.0,25.0,7.0,27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32.0,30.0,25,0,1,0,0,0,0,0,25,1,2
32.0,34.0,64.0,28.0,25.0,7.0,27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32.0,30.0,25.0,22,0,0,0,0,0,1,0,22,2,2
34.0,64.0,28.0,25.0,7.0,27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32.0,30.0,25.0,22.0,17,0,0,0,0,0,0,1,17,3,2
64.0,28.0,25.0,7.0,27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32.0,30.0,25.0,22.0,17.0,8,0,0,0,0,1,0,0,8,4,2
28.0,25.0,7.0,27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32.0,30.0,25.0,22.0,17.0,8.0,24,1,0,0,0,0,0,0,24,5,2
25.0,7.0,27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32.0,30.0,25.0,22.0,17.0,8.0,24.0,29,0,0,1,0,0,0,0,29,6,2
7.0,27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32.0,30.0,25.0,22.0,17.0,8.0,24.0,29.0,27,0,0,0,1,0,0,0,27,7,2
27.0,26.0,29.0,29.0,28.0,32.0,10.0,4.0,4.0,11.0,16.0,48.0,8.0,48.0,78.0,43.0,36.0,42.0,30.0,32.0,30.0,25.0,22.0,17.0,8.0,24.0,29.0,27.0,29,0,1,0,0,0,0,0,29,8,2
