lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,32.0,30.0,31.0,33.0,29.0,23.0,33.0,30.0,30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27,0,0,0,0,0,0,1,27,10,2
32.0,30.0,31.0,33.0,29.0,23.0,33.0,30.0,30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27.0,35,0,0,0,0,1,0,0,35,11,2
30.0,31.0,33.0,29.0,23.0,33.0,30.0,30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27.0,35.0,32,1,0,0,0,0,0,0,32,12,2
31.0,33.0,29.0,23.0,33.0,30.0,30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27.0,35.0,32.0,37,0,0,1,0,0,0,0,37,13,2
33.0,29.0,23.0,33.0,30.0,30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27.0,35.0,32.0,37.0,36,0,0,0,1,0,0,0,36,14,2
29.0,23.0,33.0,30.0,30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27.0,35.0,32.0,37.0,36.0,32,0,1,0,0,0,0,0,32,15,2
23.0,33.0,30.0,30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27.0,35.0,32.0,37.0,36.0,32.0,36,0,0,0,0,0,1,0,36,16,2
33.0,30.0,30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27.0,35.0,32.0,37.0,36.0,32.0,36.0,35,0,0,0,0,0,0,1,35,17,2
30.0,30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27.0,35.0,32.0,37.0,36.0,32.0,36.0,35.0,37,0,0,0,0,1,0,0,37,18,2
30.0,31.0,27.0,35.0,38.0,34.0,30.0,28.0,33.0,36.0,44.0,38.0,30.0,26.0,23.0,32.0,33.0,39.0,23.0,27.0,35.0,32.0,37.0,36.0,32.0,36.0,35.0,37.0,39,1,0,0,0,0,0,0,39,19,2
