lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
11.0,16.0,14.0,20.0,27.0,53.0,21.0,17.0,15.0,25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29,0,0,1,0,0,0,0,29,30,1
16.0,14.0,20.0,27.0,53.0,21.0,17.0,15.0,25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29.0,28,0,0,0,1,0,0,0,28,31,1
14.0,20.0,27.0,53.0,21.0,17.0,15.0,25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29.0,28.0,25,0,1,0,0,0,0,0,25,1,2
20.0,27.0,53.0,21.0,17.0,15.0,25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29.0,28.0,25.0,25,0,0,0,0,0,1,0,25,2,2
27.0,53.0,21.0,17.0,15.0,25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29.0,28.0,25.0,25.0,14,0,0,0,0,0,0,1,14,3,2
53.0,21.0,17.0,15.0,25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29.0,28.0,25.0,25.0,14.0,22,0,0,0,0,1,0,0,22,4,2
21.0,17.0,15.0,25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29.0,28.0,25.0,25.0,14.0,22.0,28,1,0,0,0,0,0,0,28,5,2
17.0,15.0,25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29.0,28.0,25.0,25.0,14.0,22.0,28.0,30,0,0,1,0,0,0,0,30,6,2
15.0,25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29.0,28.0,25.0,25.0,14.0,22.0,28.0,30.0,21,0,0,0,1,0,0,0,21,7,2
25.0,10.0,18.0,23.0,26.0,31.0,15.0,17.0,28.0,22.0,28.0,62.0,39.0,42.0,87.0,26.0,31.0,56.0,30.0,29.0,28.0,25.0,25.0,14.0,22.0,28.0,30.0,21.0,25,0,1,0,0,0,0,0,25,8,2
