lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
24.0,23.0,52.0,61.0,59.0,51.0,54.0,40.0,38.0,25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15,0,0,1,0,0,0,0,15,30,1
23.0,52.0,61.0,59.0,51.0,54.0,40.0,38.0,25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16,0,0,0,1,0,0,0,16,31,1
52.0,61.0,59.0,51.0,54.0,40.0,38.0,25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19,0,1,0,0,0,0,0,19,1,2
61.0,59.0,51.0,54.0,40.0,38.0,25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15,0,0,0,0,0,1,0,15,2,2
59.0,51.0,54.0,40.0,38.0,25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32,0,0,0,0,0,0,1,32,3,2
51.0,54.0,40.0,38.0,25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40,0,0,0,0,1,0,0,40,4,2
54.0,40.0,38.0,25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45,1,0,0,0,0,0,0,45,5,2
40.0,38.0,25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15,0,0,1,0,0,0,0,15,6,2
38.0,25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18,0,0,0,1,0,0,0,18,7,2
25.0,28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18,0,1,0,0,0,0,0,18,8,2
28.0,29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22,0,0,0,0,0,1,0,22,9,2
29.0,14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33,0,0,0,0,0,0,1,33,10,2
14.0,23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41,0,0,0,0,1,0,0,41,11,2
23.0,32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48,1,0,0,0,0,0,0,48,12,2
32.0,25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14,0,0,1,0,0,0,0,14,13,2
25.0,3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11,0,0,0,1,0,0,0,11,14,2
3.0,1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13,0,1,0,0,0,0,0,13,15,2
1.0,10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8,0,0,0,0,0,1,0,8,16,2
10.0,15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14,0,0,0,0,0,0,1,14,17,2
15.0,23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10,0,0,0,0,1,0,0,10,18,2
23.0,18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6,1,0,0,0,0,0,0,6,19,2
18.0,18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10,0,0,1,0,0,0,0,10,20,2
18.0,20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15,0,0,0,1,0,0,0,15,21,2
20.0,33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19,0,1,0,0,0,0,0,19,22,2
33.0,41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16,0,0,0,0,0,1,0,16,23,2
41.0,38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16,0,0,0,0,0,0,1,16,24,2
38.0,12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19,0,0,0,0,1,0,0,19,25,2
12.0,15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25,1,0,0,0,0,0,0,25,26,2
15.0,16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26,0,0,1,0,0,0,0,26,27,2
16.0,19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10,0,0,0,1,0,0,0,10,28,2
19.0,15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9,0,1,0,0,0,0,0,9,29,2
15.0,32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13,0,0,0,0,0,1,0,13,1,3
32.0,40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11,0,0,0,0,0,0,1,11,2,3
40.0,45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13,0,0,0,0,1,0,0,13,3,3
45.0,15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13,1,0,0,0,0,0,0,13,4,3
15.0,18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12,0,0,1,0,0,0,0,12,5,3
18.0,18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4,0,0,0,1,0,0,0,4,6,3
18.0,22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4.0,6,0,1,0,0,0,0,0,6,7,3
22.0,33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4.0,6.0,10,0,0,0,0,0,1,0,10,8,3
33.0,41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4.0,6.0,10.0,9,0,0,0,0,0,0,1,9,9,3
41.0,48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4.0,6.0,10.0,9.0,11,0,0,0,0,1,0,0,11,10,3
48.0,14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4.0,6.0,10.0,9.0,11.0,12,1,0,0,0,0,0,0,12,11,3
14.0,11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4.0,6.0,10.0,9.0,11.0,12.0,14,0,0,1,0,0,0,0,14,12,3
11.0,13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4.0,6.0,10.0,9.0,11.0,12.0,14.0,5,0,0,0,1,0,0,0,5,13,3
13.0,8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4.0,6.0,10.0,9.0,11.0,12.0,14.0,5.0,4,0,1,0,0,0,0,0,4,14,3
8.0,14.0,10.0,6.0,10.0,15.0,19.0,16.0,16.0,19.0,25.0,26.0,10.0,9.0,13.0,11.0,13.0,13.0,12.0,4.0,6.0,10.0,9.0,11.0,12.0,14.0,5.0,4.0,6,0,0,0,0,0,1,0,6,15,3
