lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
6.0,7.0,14.0,5.0,7.0,61.0,4.0,8.0,15.0,3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6,0,0,1,0,0,0,0,6,30,1
7.0,14.0,5.0,7.0,61.0,4.0,8.0,15.0,3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6.0,41,0,0,0,1,0,0,0,41,31,1
14.0,5.0,7.0,61.0,4.0,8.0,15.0,3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6.0,41.0,1,0,1,0,0,0,0,0,1,1,2
5.0,7.0,61.0,4.0,8.0,15.0,3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6.0,41.0,1.0,3,0,0,0,0,0,1,0,3,2,2
7.0,61.0,4.0,8.0,15.0,3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6.0,41.0,1.0,3.0,28,0,0,0,0,0,0,1,28,3,2
61.0,4.0,8.0,15.0,3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6.0,41.0,1.0,3.0,28.0,2,0,0,0,0,1,0,0,2,4,2
4.0,8.0,15.0,3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6.0,41.0,1.0,3.0,28.0,2.0,6,1,0,0,0,0,0,0,6,5,2
8.0,15.0,3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6.0,41.0,1.0,3.0,28.0,2.0,6.0,31,0,0,1,0,0,0,0,31,6,2
15.0,3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6.0,41.0,1.0,3.0,28.0,2.0,6.0,31.0,5,0,0,0,1,0,0,0,5,7,2
3.0,1.0,22.0,8.0,7.0,38.0,3.0,3.0,45.0,3.0,4.0,39.0,3.0,1.0,51.0,11.0,6.0,47.0,9.0,6.0,41.0,1.0,3.0,28.0,2.0,6.0,31.0,5.0,5,0,1,0,0,0,0,0,5,8,2
