lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
3.0,6.0,16.0,6.0,4.0,51.0,4.0,3.0,3.0,6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1,0,0,1,0,0,0,0,1,30,1
6.0,16.0,6.0,4.0,51.0,4.0,3.0,3.0,6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1.0,21,0,0,0,1,0,0,0,21,31,1
16.0,6.0,4.0,51.0,4.0,3.0,3.0,6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1.0,21.0,27,0,1,0,0,0,0,0,27,1,2
6.0,4.0,51.0,4.0,3.0,3.0,6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1.0,21.0,27.0,3,0,0,0,0,0,1,0,3,2,2
4.0,51.0,4.0,3.0,3.0,6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1.0,21.0,27.0,3.0,13,0,0,0,0,0,0,1,13,3,2
51.0,4.0,3.0,3.0,6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1.0,21.0,27.0,3.0,13.0,3,0,0,0,0,1,0,0,3,4,2
4.0,3.0,3.0,6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1.0,21.0,27.0,3.0,13.0,3.0,1,1,0,0,0,0,0,0,1,5,2
3.0,3.0,6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1.0,21.0,27.0,3.0,13.0,3.0,1.0,25,0,0,1,0,0,0,0,25,6,2
3.0,6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1.0,21.0,27.0,3.0,13.0,3.0,1.0,25.0,4,0,0,0,1,0,0,0,4,7,2
6.0,1.0,36.0,6.0,1.0,25.0,3.0,4.0,38.0,1.0,1.0,35.0,0.0,0.0,33.0,1.0,3.0,28.0,4.0,1.0,21.0,27.0,3.0,13.0,3.0,1.0,25.0,4.0,1,0,1,0,0,0,0,0,1,8,2
