"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Churchill County, NV"	"32001"	"Dec., 2013"	"2013/12"			10	Not Applicable	Not Applicable
"Total"	"Churchill County, NV"	"32001"					612	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	30	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	36	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	30	Not Applicable	Not Applicable
"Total"	"Clark County, NV"	"32003"	"Jan., 1999"	"1999/01"			113	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	27	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	28	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	20	Not Applicable	Not Applicable
"Total"	"Clark County, NV"	"32003"	"Feb., 1999"	"1999/02"			92	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Mar., 1999"	"1999/03"	"65-74 years"	"65-74"	37	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	35	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	15	Not Applicable	Not Applicable
"Total"	"Clark County, NV"	"32003"	"Mar., 1999"	"1999/03"			100	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Apr., 1999"	"1999/04"	"55-64 years"	"55-64"	11	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Apr., 1999"	"1999/04"	"65-74 years"	"65-74"	38	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	27	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"Apr., 1999"	"1999/04"	"85+ years"	"85+"	25	Not Applicable	Not Applicable
"Total"	"Clark County, NV"	"32003"	"Apr., 1999"	"1999/04"			104	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"May, 1999"	"1999/05"	"65-74 years"	"65-74"	24	Not Applicable	Not Applicable
	"Clark County, NV"	"32003"	"May, 1999"	"1999/05"	"75-84 years"	"75-84"	24	Not Applicable	Not Applicable
