"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Adams County, IL"	"17001"	"Jan., 2007"	"2007/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"Feb., 2008"	"2008/02"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Adams County, IL"	"17001"	"Jan., 2015"	"2015/01"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Champaign County, IL"	"17019"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Champaign County, IL"	"17019"	"Feb., 2011"	"2011/02"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Champaign County, IL"	"17019"	"Mar., 2011"	"2011/03"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Champaign County, IL"	"17019"	"Jan., 2013"	"2013/01"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Champaign County, IL"	"17019"	"Jan., 2013"	"2013/01"	"85+ years"	"85+"	10	Not Applicable	Not Applicable
	"Champaign County, IL"	"17019"	"Oct., 2016"	"2016/10"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"Jan., 1999"	"1999/01"	"35-44 years"	"35-44"	11	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"Jan., 1999"	"1999/01"	"45-54 years"	"45-54"	13	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"Jan., 1999"	"1999/01"	"55-64 years"	"55-64"	33	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	73	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	152	Not Applicable	Not Applicable
	"Cook County, IL"	"17031"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	149	Not Applicable	Not Applicable
