"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Baldwin County, AL"	"01003"	"Jan., 2000"	"2000/01"	14	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Feb., 2000"	"2000/02"	14	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Apr., 2000"	"2000/04"	10	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Jun., 2000"	"2000/06"	15	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Jul., 2000"	"2000/07"	11	Not Applicable	Not Applicable	0.0%
	"Baldwin County, AL"	"01003"	"Aug., 2000"	"2000/08"	10	Not Applicable	Not Applicable	0.0%
	"Blount County, AL"	"01009"	"Jan., 2000"	"2000/01"	10	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Jan., 2000"	"2000/01"	17	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Feb., 2000"	"2000/02"	15	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"May, 2000"	"2000/05"	12	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Aug., 2000"	"2000/08"	11	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Oct., 2000"	"2000/10"	11	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Nov., 2000"	"2000/11"	12	Not Applicable	Not Applicable	0.0%
	"Calhoun County, AL"	"01015"	"Dec., 2000"	"2000/12"	19	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Jan., 2000"	"2000/01"	10	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Apr., 2000"	"2000/04"	17	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Oct., 2000"	"2000/10"	11	Not Applicable	Not Applicable	0.0%
	"Cullman County, AL"	"01043"	"Dec., 2000"	"2000/12"	10	Not Applicable	Not Applicable	0.0%
	"Dale County, AL"	"01045"	"Jan., 2000"	"2000/01"	13	Not Applicable	Not Applicable	0.0%
	"DeKalb County, AL"	"01049"	"May, 2000"	"2000/05"	11	Not Applicable	Not Applicable	0.0%
	"DeKalb County, AL"	"01049"	"Dec., 2000"	"2000/12"	10	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Jan., 2000"	"2000/01"	17	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Feb., 2000"	"2000/02"	18	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Mar., 2000"	"2000/03"	14	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"May, 2000"	"2000/05"	12	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Aug., 2000"	"2000/08"	18	Not Applicable	Not Applicable	0.0%
	"Etowah County, AL"	"01055"	"Oct., 2000"	"2000/10"	10	Not Applicable	Not Applicable	0.0%
	"Houston County, AL"	"01069"	"Jan., 2000"	"2000/01"	13	Not Applicable	Not Applicable	0.0%
	"Houston County, AL"	"01069"	"Dec., 2000"	"2000/12"	12	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AL"	"01073"	"Jan., 2000"	"2000/01"	96	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AL"	"01073"	"Feb., 2000"	"2000/02"	78	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AL"	"01073"	"Mar., 2000"	"2000/03"	64	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AL"	"01073"	"Apr., 2000"	"2000/04"	58	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AL"	"01073"	"May, 2000"	"2000/05"	55	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AL"	"01073"	"Jun., 2000"	"2000/06"	61	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AL"	"01073"	"Jul., 2000"	"2000/07"	40	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AL"	"01073"	"Aug., 2000"	"2000/08"	47	Not Applicable	Not Applicable	0.0%
	"Jefferson County, AL"	"01073"	"Sep., 2000"	"2000/09"	42	Not Applicable	Not Applicable	0.0%
