"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Arkansas County, AR"	"05001"	"1999"	"1999"	"35-44 years"	"35-44"	15	3052	Unreliable
	"Arkansas County, AR"	"05001"	"1999"	"1999"	"45-54 years"	"45-54"	11	2917	Unreliable
	"Arkansas County, AR"	"05001"	"1999"	"1999"	"55-64 years"	"55-64"	23	2081	1105.2
	"Arkansas County, AR"	"05001"	"1999"	"1999"	"65-74 years"	"65-74"	58	1725	3362.3
	"Arkansas County, AR"	"05001"	"1999"	"1999"	"75-84 years"	"75-84"	91	1197	7602.3
	"Arkansas County, AR"	"05001"	"1999"	"1999"	"85+ years"	"85+"	79	462	17099.6
	"Arkansas County, AR"	"05001"	"2000"	"2000"	"45-54 years"	"45-54"	16	2967	Unreliable
	"Arkansas County, AR"	"05001"	"2000"	"2000"	"55-64 years"	"55-64"	19	2090	Unreliable
	"Arkansas County, AR"	"05001"	"2000"	"2000"	"65-74 years"	"65-74"	50	1710	2924.0
	"Arkansas County, AR"	"05001"	"2000"	"2000"	"75-84 years"	"75-84"	79	1197	6599.8
	"Arkansas County, AR"	"05001"	"2000"	"2000"	"85+ years"	"85+"	72	453	15894.0
	"Arkansas County, AR"	"05001"	"2001"	"2001"	"35-44 years"	"35-44"	13	2900	Unreliable
	"Arkansas County, AR"	"05001"	"2001"	"2001"	"45-54 years"	"45-54"	22	3038	724.2
	"Arkansas County, AR"	"05001"	"2001"	"2001"	"55-64 years"	"55-64"	31	2093	1481.1
	"Arkansas County, AR"	"05001"	"2001"	"2001"	"65-74 years"	"65-74"	66	1682	3923.9
	"Arkansas County, AR"	"05001"	"2001"	"2001"	"75-84 years"	"75-84"	68	1206	5638.5
	"Arkansas County, AR"	"05001"	"2001"	"2001"	"85+ years"	"85+"	88	482	18257.3
	"Arkansas County, AR"	"05001"	"2002"	"2002"	"35-44 years"	"35-44"	11	2818	Unreliable
	"Arkansas County, AR"	"05001"	"2002"	"2002"	"45-54 years"	"45-54"	20	2995	667.8
	"Arkansas County, AR"	"05001"	"2002"	"2002"	"55-64 years"	"55-64"	25	2195	1139.0
	"Arkansas County, AR"	"05001"	"2002"	"2002"	"65-74 years"	"65-74"	49	1625	3015.4
	"Arkansas County, AR"	"05001"	"2002"	"2002"	"75-84 years"	"75-84"	71	1202	5906.8
	"Arkansas County, AR"	"05001"	"2002"	"2002"	"85+ years"	"85+"	85	478	17782.4
	"Arkansas County, AR"	"05001"	"2003"	"2003"	"35-44 years"	"35-44"	16	2678	Unreliable
	"Arkansas County, AR"	"05001"	"2003"	"2003"	"45-54 years"	"45-54"	23	3002	766.2
	"Arkansas County, AR"	"05001"	"2003"	"2003"	"55-64 years"	"55-64"	35	2275	1538.5
	"Arkansas County, AR"	"05001"	"2003"	"2003"	"65-74 years"	"65-74"	47	1605	2928.3
	"Arkansas County, AR"	"05001"	"2003"	"2003"	"75-84 years"	"75-84"	87	1179	7379.1
	"Arkansas County, AR"	"05001"	"2003"	"2003"	"85+ years"	"85+"	88	455	19340.7
	"Arkansas County, AR"	"05001"	"2004"	"2004"	"45-54 years"	"45-54"	20	2988	669.3
	"Arkansas County, AR"	"05001"	"2004"	"2004"	"55-64 years"	"55-64"	27	2354	1147.0
	"Arkansas County, AR"	"05001"	"2004"	"2004"	"65-74 years"	"65-74"	43	1605	2679.1
	"Arkansas County, AR"	"05001"	"2004"	"2004"	"75-84 years"	"75-84"	72	1148	6271.8
	"Arkansas County, AR"	"05001"	"2004"	"2004"	"85+ years"	"85+"	63	445	14157.3
	"Arkansas County, AR"	"05001"	"2005"	"2005"	"35-44 years"	"35-44"	11	2556	Unreliable
	"Arkansas County, AR"	"05001"	"2005"	"2005"	"45-54 years"	"45-54"	24	3011	797.1
	"Arkansas County, AR"	"05001"	"2005"	"2005"	"55-64 years"	"55-64"	31	2399	1292.2
	"Arkansas County, AR"	"05001"	"2005"	"2005"	"65-74 years"	"65-74"	43	1621	2652.7
	"Arkansas County, AR"	"05001"	"2005"	"2005"	"75-84 years"	"75-84"	58	1107	5239.4
	"Arkansas County, AR"	"05001"	"2005"	"2005"	"85+ years"	"85+"	84	438	19178.1
	"Arkansas County, AR"	"05001"	"2006"	"2006"	"45-54 years"	"45-54"	23	2967	775.2
	"Arkansas County, AR"	"05001"	"2006"	"2006"	"55-64 years"	"55-64"	38	2460	1544.7
	"Arkansas County, AR"	"05001"	"2006"	"2006"	"65-74 years"	"65-74"	35	1616	2165.8
	"Arkansas County, AR"	"05001"	"2006"	"2006"	"75-84 years"	"75-84"	60	1132	5300.4
	"Arkansas County, AR"	"05001"	"2006"	"2006"	"85+ years"	"85+"	63	431	14617.2
	"Arkansas County, AR"	"05001"	"2007"	"2007"	"35-44 years"	"35-44"	12	2410	Unreliable
	"Arkansas County, AR"	"05001"	"2007"	"2007"	"45-54 years"	"45-54"	19	2947	Unreliable
	"Arkansas County, AR"	"05001"	"2007"	"2007"	"55-64 years"	"55-64"	30	2511	1194.7
	"Arkansas County, AR"	"05001"	"2007"	"2007"	"65-74 years"	"65-74"	42	1602	2621.7
	"Arkansas County, AR"	"05001"	"2007"	"2007"	"75-84 years"	"75-84"	65	1128	5762.4
	"Arkansas County, AR"	"05001"	"2007"	"2007"	"85+ years"	"85+"	73	425	17176.5
	"Arkansas County, AR"	"05001"	"2008"	"2008"	"45-54 years"	"45-54"	30	2872	1044.6
	"Arkansas County, AR"	"05001"	"2008"	"2008"	"55-64 years"	"55-64"	35	2580	1356.6
	"Arkansas County, AR"	"05001"	"2008"	"2008"	"65-74 years"	"65-74"	44	1638	2686.2
	"Arkansas County, AR"	"05001"	"2008"	"2008"	"75-84 years"	"75-84"	75	1076	6970.3
	"Arkansas County, AR"	"05001"	"2008"	"2008"	"85+ years"	"85+"	79	447	17673.4
	"Arkansas County, AR"	"05001"	"2009"	"2009"	"45-54 years"	"45-54"	28	2804	998.6
	"Arkansas County, AR"	"05001"	"2009"	"2009"	"55-64 years"	"55-64"	32	2649	1208.0
	"Arkansas County, AR"	"05001"	"2009"	"2009"	"65-74 years"	"65-74"	40	1640	2439.0
	"Arkansas County, AR"	"05001"	"2009"	"2009"	"75-84 years"	"75-84"	56	1059	5288.0
	"Arkansas County, AR"	"05001"	"2009"	"2009"	"85+ years"	"85+"	56	439	12756.3
	"Arkansas County, AR"	"05001"	"2010"	"2010"	"35-44 years"	"35-44"	10	2271	Unreliable
