"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"	"< 1 year"	"1"	13	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"	"15-24 years"	"15-24"	12	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"	"25-34 years"	"25-34"	20	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"	"35-44 years"	"35-44"	42	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"	"45-54 years"	"45-54"	53	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"	"55-64 years"	"55-64"	76	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	107	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	122	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	125	Not Applicable	Not Applicable
"Total"	"District of Columbia, DC"	"11001"	"Jan., 1999"	"1999/01"			574	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Feb., 1999"	"1999/02"	"15-24 years"	"15-24"	12	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Feb., 1999"	"1999/02"	"35-44 years"	"35-44"	31	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Feb., 1999"	"1999/02"	"45-54 years"	"45-54"	51	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Feb., 1999"	"1999/02"	"55-64 years"	"55-64"	64	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Feb., 1999"	"1999/02"	"65-74 years"	"65-74"	90	Not Applicable	Not Applicable
	"District of Columbia, DC"	"11001"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	153	Not Applicable	Not Applicable
