"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Fairfield County, CT"	"09001"	"Jan., 1999"	"1999/01"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jan., 1999"	"1999/01"	"75-84 years"	"75-84"	28	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jan., 1999"	"1999/01"	"85+ years"	"85+"	38	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Jan., 1999"	"1999/01"			85	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Feb., 1999"	"1999/02"	"75-84 years"	"75-84"	24	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Feb., 1999"	"1999/02"	"85+ years"	"85+"	24	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Feb., 1999"	"1999/02"			63	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Mar., 1999"	"1999/03"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Mar., 1999"	"1999/03"	"75-84 years"	"75-84"	19	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Mar., 1999"	"1999/03"	"85+ years"	"85+"	29	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Mar., 1999"	"1999/03"			66	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Apr., 1999"	"1999/04"	"75-84 years"	"75-84"	17	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Apr., 1999"	"1999/04"	"85+ years"	"85+"	23	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Apr., 1999"	"1999/04"			53	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"May, 1999"	"1999/05"	"75-84 years"	"75-84"	18	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"May, 1999"	"1999/05"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"May, 1999"	"1999/05"			47	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jun., 1999"	"1999/06"	"75-84 years"	"75-84"	10	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jun., 1999"	"1999/06"	"85+ years"	"85+"	19	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Jun., 1999"	"1999/06"			41	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jul., 1999"	"1999/07"	"75-84 years"	"75-84"	22	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jul., 1999"	"1999/07"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Jul., 1999"	"1999/07"			41	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Aug., 1999"	"1999/08"	"65-74 years"	"65-74"	13	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Aug., 1999"	"1999/08"	"75-84 years"	"75-84"	13	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Aug., 1999"	"1999/08"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Aug., 1999"	"1999/08"			45	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Sep., 1999"	"1999/09"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Sep., 1999"	"1999/09"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Sep., 1999"	"1999/09"			36	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Oct., 1999"	"1999/10"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Oct., 1999"	"1999/10"	"75-84 years"	"75-84"	14	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Oct., 1999"	"1999/10"	"85+ years"	"85+"	24	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Oct., 1999"	"1999/10"			56	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Nov., 1999"	"1999/11"	"75-84 years"	"75-84"	16	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Nov., 1999"	"1999/11"	"85+ years"	"85+"	24	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Nov., 1999"	"1999/11"			53	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Dec., 1999"	"1999/12"	"75-84 years"	"75-84"	23	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Dec., 1999"	"1999/12"	"85+ years"	"85+"	23	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Dec., 1999"	"1999/12"			60	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jan., 2000"	"2000/01"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jan., 2000"	"2000/01"	"75-84 years"	"75-84"	30	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Jan., 2000"	"2000/01"	"85+ years"	"85+"	40	Not Applicable	Not Applicable
"Total"	"Fairfield County, CT"	"09001"	"Jan., 2000"	"2000/01"			90	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Feb., 2000"	"2000/02"	"75-84 years"	"75-84"	24	Not Applicable	Not Applicable
	"Fairfield County, CT"	"09001"	"Feb., 2000"	"2000/02"	"85+ years"	"85+"	31	Not Applicable	Not Applicable
