lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
9.0,53.0,64.0,43.0,54.0,43.0,48.0,27.0,37.0,29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28,0,0,1,0,0,0,0,28,30,1
53.0,64.0,43.0,54.0,43.0,48.0,27.0,37.0,29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28.0,39,0,0,0,1,0,0,0,39,31,1
64.0,43.0,54.0,43.0,48.0,27.0,37.0,29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28.0,39.0,37,0,1,0,0,0,0,0,37,1,2
43.0,54.0,43.0,48.0,27.0,37.0,29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28.0,39.0,37.0,38,0,0,0,0,0,1,0,38,2,2
54.0,43.0,48.0,27.0,37.0,29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28.0,39.0,37.0,38.0,30,0,0,0,0,0,0,1,30,3,2
43.0,48.0,27.0,37.0,29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28.0,39.0,37.0,38.0,30.0,19,0,0,0,0,1,0,0,19,4,2
48.0,27.0,37.0,29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28.0,39.0,37.0,38.0,30.0,19.0,13,1,0,0,0,0,0,0,13,5,2
27.0,37.0,29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28.0,39.0,37.0,38.0,30.0,19.0,13.0,27,0,0,1,0,0,0,0,27,6,2
37.0,29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28.0,39.0,37.0,38.0,30.0,19.0,13.0,27.0,42,0,0,0,1,0,0,0,42,7,2
29.0,31.0,28.0,43.0,51.0,52.0,55.0,39.0,50.0,36.0,48.0,33.0,30.0,35.0,38.0,50.0,18.0,39.0,23.0,28.0,39.0,37.0,38.0,30.0,19.0,13.0,27.0,42.0,44,0,1,0,0,0,0,0,44,8,2
