lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
94.0,119.0,96.0,28.0,32.0,32.0,44.0,31.0,56.0,47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48,0,0,1,0,0,0,0,48,30,1
119.0,96.0,28.0,32.0,32.0,44.0,31.0,56.0,47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31,0,0,0,1,0,0,0,31,31,1
96.0,28.0,32.0,32.0,44.0,31.0,56.0,47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33,0,1,0,0,0,0,0,33,1,2
28.0,32.0,32.0,44.0,31.0,56.0,47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26,0,0,0,0,0,1,0,26,2,2
32.0,32.0,44.0,31.0,56.0,47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65,0,0,0,0,0,0,1,65,3,2
32.0,44.0,31.0,56.0,47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53,0,0,0,0,1,0,0,53,4,2
44.0,31.0,56.0,47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62,1,0,0,0,0,0,0,62,5,2
31.0,56.0,47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87,0,0,1,0,0,0,0,87,6,2
56.0,47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75,0,0,0,1,0,0,0,75,7,2
47.0,64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76,0,1,0,0,0,0,0,76,8,2
64.0,41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65,0,0,0,0,0,1,0,65,9,2
41.0,45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66,0,0,0,0,0,0,1,66,10,2
45.0,38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74,0,0,0,0,1,0,0,74,11,2
38.0,43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85,1,0,0,0,0,0,0,85,12,2
43.0,39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63,0,0,1,0,0,0,0,63,13,2
39.0,27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60,0,0,0,1,0,0,0,60,14,2
27.0,31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95,0,1,0,0,0,0,0,95,15,2
31.0,38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99,0,0,0,0,0,1,0,99,16,2
38.0,53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55,0,0,0,0,0,0,1,55,17,2
53.0,26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16,0,0,0,0,1,0,0,16,18,2
26.0,33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36,1,0,0,0,0,0,0,36,19,2
33.0,44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42,0,0,1,0,0,0,0,42,20,2
44.0,53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56,0,0,0,1,0,0,0,56,21,2
53.0,43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56.0,37,0,1,0,0,0,0,0,37,22,2
43.0,52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56.0,37.0,39,0,0,0,0,0,1,0,39,23,2
52.0,76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56.0,37.0,39.0,75,0,0,0,0,0,0,1,75,24,2
76.0,119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56.0,37.0,39.0,75.0,69,0,0,0,0,1,0,0,69,25,2
119.0,48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56.0,37.0,39.0,75.0,69.0,56,1,0,0,0,0,0,0,56,26,2
48.0,31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56.0,37.0,39.0,75.0,69.0,56.0,32,0,0,1,0,0,0,0,32,27,2
31.0,33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56.0,37.0,39.0,75.0,69.0,56.0,32.0,31,0,0,0,1,0,0,0,31,28,2
33.0,26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56.0,37.0,39.0,75.0,69.0,56.0,32.0,31.0,40,0,1,0,0,0,0,0,40,29,2
26.0,65.0,53.0,62.0,87.0,75.0,76.0,65.0,66.0,74.0,85.0,63.0,60.0,95.0,99.0,55.0,16.0,36.0,42.0,56.0,37.0,39.0,75.0,69.0,56.0,32.0,31.0,40.0,56,0,0,0,0,0,1,0,56,1,3
