lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
35.0,29.0,31.0,31.0,28.0,33.0,27.0,23.0,31.0,28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37,0,0,1,0,0,0,0,37,30,1
29.0,31.0,31.0,28.0,33.0,27.0,23.0,31.0,28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55,0,0,0,1,0,0,0,55,31,1
31.0,31.0,28.0,33.0,27.0,23.0,31.0,28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44,0,1,0,0,0,0,0,44,1,2
31.0,28.0,33.0,27.0,23.0,31.0,28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33,0,0,0,0,0,1,0,33,2,2
28.0,33.0,27.0,23.0,31.0,28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27,0,0,0,0,0,0,1,27,3,2
33.0,27.0,23.0,31.0,28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27,0,0,0,0,1,0,0,27,4,2
27.0,23.0,31.0,28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37,1,0,0,0,0,0,0,37,5,2
23.0,31.0,28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31,0,0,1,0,0,0,0,31,6,2
31.0,28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40,0,0,0,1,0,0,0,40,7,2
28.0,35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45,0,1,0,0,0,0,0,45,8,2
35.0,45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41,0,0,0,0,0,1,0,41,9,2
45.0,35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39,0,0,0,0,0,0,1,39,10,2
35.0,38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65,0,0,0,0,1,0,0,65,11,2
38.0,25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44,1,0,0,0,0,0,0,44,12,2
25.0,35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42,0,0,1,0,0,0,0,42,13,2
35.0,34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42.0,46,0,0,0,1,0,0,0,46,14,2
34.0,35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42.0,46.0,30,0,1,0,0,0,0,0,30,15,2
35.0,38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42.0,46.0,30.0,40,0,0,0,0,0,1,0,40,16,2
38.0,40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42.0,46.0,30.0,40.0,44,0,0,0,0,0,0,1,44,17,2
40.0,32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42.0,46.0,30.0,40.0,44.0,44,0,0,0,0,1,0,0,44,18,2
32.0,32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42.0,46.0,30.0,40.0,44.0,44.0,42,1,0,0,0,0,0,0,42,19,2
32.0,37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42.0,46.0,30.0,40.0,44.0,44.0,42.0,44,0,0,1,0,0,0,0,44,20,2
37.0,58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42.0,46.0,30.0,40.0,44.0,44.0,42.0,44.0,42,0,0,0,1,0,0,0,42,21,2
58.0,33.0,24.0,32.0,41.0,37.0,55.0,44.0,33.0,27.0,27.0,37.0,31.0,40.0,45.0,41.0,39.0,65.0,44.0,42.0,46.0,30.0,40.0,44.0,44.0,42.0,44.0,42.0,39,0,1,0,0,0,0,0,39,22,2
