lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
17.0,18.0,31.0,31.0,30.0,23.0,26.0,22.0,31.0,31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39,0,0,1,0,0,0,0,39,30,1
18.0,31.0,31.0,30.0,23.0,26.0,22.0,31.0,31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26,0,0,0,1,0,0,0,26,31,1
31.0,31.0,30.0,23.0,26.0,22.0,31.0,31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41,0,1,0,0,0,0,0,41,1,2
31.0,30.0,23.0,26.0,22.0,31.0,31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36,0,0,0,0,0,1,0,36,2,2
30.0,23.0,26.0,22.0,31.0,31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25,0,0,0,0,0,0,1,25,3,2
23.0,26.0,22.0,31.0,31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29,0,0,0,0,1,0,0,29,4,2
26.0,22.0,31.0,31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35,1,0,0,0,0,0,0,35,5,2
22.0,31.0,31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31,0,0,1,0,0,0,0,31,6,2
31.0,31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39,0,0,0,1,0,0,0,39,7,2
31.0,36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48,0,1,0,0,0,0,0,48,8,2
36.0,35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40,0,0,0,0,0,1,0,40,9,2
35.0,30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38,0,0,0,0,0,0,1,38,10,2
30.0,36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44,0,0,0,0,1,0,0,44,11,2
36.0,31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44,1,0,0,0,0,0,0,44,12,2
31.0,35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44.0,40,0,0,1,0,0,0,0,40,13,2
35.0,33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44.0,40.0,43,0,0,0,1,0,0,0,43,14,2
33.0,34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44.0,40.0,43.0,37,0,1,0,0,0,0,0,37,15,2
34.0,39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44.0,40.0,43.0,37.0,40,0,0,0,0,0,1,0,40,16,2
39.0,39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44.0,40.0,43.0,37.0,40.0,44,0,0,0,0,0,0,1,44,17,2
39.0,32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44.0,40.0,43.0,37.0,40.0,44.0,42,0,0,0,0,1,0,0,42,18,2
32.0,29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44.0,40.0,43.0,37.0,40.0,44.0,42.0,45,1,0,0,0,0,0,0,45,19,2
29.0,33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44.0,40.0,43.0,37.0,40.0,44.0,42.0,45.0,45,0,0,1,0,0,0,0,45,20,2
33.0,42.0,36.0,35.0,22.0,40.0,39.0,26.0,41.0,36.0,25.0,29.0,35.0,31.0,39.0,48.0,40.0,38.0,44.0,44.0,40.0,43.0,37.0,40.0,44.0,42.0,45.0,45.0,43,0,0,0,1,0,0,0,43,21,2
