lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
23.0,21.0,23.0,15.0,15.0,18.0,20.0,11.0,12.0,26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35,0,0,1,0,0,0,0,35,30,1
21.0,23.0,15.0,15.0,18.0,20.0,11.0,12.0,26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45,0,0,0,1,0,0,0,45,31,1
23.0,15.0,15.0,18.0,20.0,11.0,12.0,26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43,0,1,0,0,0,0,0,43,1,2
15.0,15.0,18.0,20.0,11.0,12.0,26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24,0,0,0,0,0,1,0,24,2,2
15.0,18.0,20.0,11.0,12.0,26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23,0,0,0,0,0,0,1,23,3,2
18.0,20.0,11.0,12.0,26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5,0,0,0,0,1,0,0,5,4,2
20.0,11.0,12.0,26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10,1,0,0,0,0,0,0,10,5,2
11.0,12.0,26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33,0,0,1,0,0,0,0,33,6,2
12.0,26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22,0,0,0,1,0,0,0,22,7,2
26.0,48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23,0,1,0,0,0,0,0,23,8,2
48.0,41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15,0,0,0,0,0,1,0,15,9,2
41.0,44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25,0,0,0,0,0,0,1,25,10,2
44.0,24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44,0,0,0,0,1,0,0,44,11,2
24.0,30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44.0,61,1,0,0,0,0,0,0,61,12,2
30.0,17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44.0,61.0,29,0,0,1,0,0,0,0,29,13,2
17.0,15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44.0,61.0,29.0,33,0,0,0,1,0,0,0,33,14,2
15.0,33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44.0,61.0,29.0,33.0,33,0,1,0,0,0,0,0,33,15,2
33.0,30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44.0,61.0,29.0,33.0,33.0,6,0,0,0,0,0,1,0,6,16,2
30.0,27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44.0,61.0,29.0,33.0,33.0,6.0,14,0,0,0,0,0,0,1,14,17,2
27.0,21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44.0,61.0,29.0,33.0,33.0,6.0,14.0,33,0,0,0,0,1,0,0,33,18,2
21.0,28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44.0,61.0,29.0,33.0,33.0,6.0,14.0,33.0,50,1,0,0,0,0,0,0,50,19,2
28.0,39.0,58.0,30.0,6.0,39.0,25.0,35.0,45.0,43.0,24.0,23.0,5.0,10.0,33.0,22.0,23.0,15.0,25.0,44.0,61.0,29.0,33.0,33.0,6.0,14.0,33.0,50.0,58,0,0,1,0,0,0,0,58,20,2
