lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
43.0,7.0,4.0,3.0,3.0,3.0,1.0,1.0,0.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84,0,0,1,0,0,0,0,84,30,1
7.0,4.0,3.0,3.0,3.0,1.0,1.0,0.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84.0,10,0,0,0,1,0,0,0,10,31,1
4.0,3.0,3.0,3.0,1.0,1.0,0.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84.0,10.0,40,0,1,0,0,0,0,0,40,1,2
3.0,3.0,3.0,1.0,1.0,0.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84.0,10.0,40.0,1,0,0,0,0,0,1,0,1,2,2
3.0,3.0,1.0,1.0,0.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84.0,10.0,40.0,1.0,1,0,0,0,0,0,0,1,1,3,2
3.0,1.0,1.0,0.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84.0,10.0,40.0,1.0,1.0,20,0,0,0,0,1,0,0,20,4,2
1.0,1.0,0.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84.0,10.0,40.0,1.0,1.0,20.0,14,1,0,0,0,0,0,0,14,5,2
1.0,0.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84.0,10.0,40.0,1.0,1.0,20.0,14.0,7,0,0,1,0,0,0,0,7,6,2
0.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84.0,10.0,40.0,1.0,1.0,20.0,14.0,7.0,85,0,0,0,1,0,0,0,85,7,2
6.0,4.0,4.0,3.0,1.0,1.0,0.0,7.0,10.0,3.0,3.0,0.0,10.0,1.0,65.0,41.0,4.0,26.0,1.0,84.0,10.0,40.0,1.0,1.0,20.0,14.0,7.0,85.0,3,0,1,0,0,0,0,0,3,8,2
