lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
59.0,58.0,55.0,62.0,64.0,67.0,63.0,63.0,56.0,69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65,0,0,1,0,0,0,0,65,30,1
58.0,55.0,62.0,64.0,67.0,63.0,63.0,56.0,69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63,0,0,0,1,0,0,0,63,31,1
55.0,62.0,64.0,67.0,63.0,63.0,56.0,69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71,0,1,0,0,0,0,0,71,1,2
62.0,64.0,67.0,63.0,63.0,56.0,69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71,0,0,0,0,0,1,0,71,2,2
64.0,67.0,63.0,63.0,56.0,69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52,0,0,0,0,0,0,1,52,3,2
67.0,63.0,63.0,56.0,69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59,0,0,0,0,1,0,0,59,4,2
63.0,63.0,56.0,69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73,1,0,0,0,0,0,0,73,5,2
63.0,56.0,69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66,0,0,1,0,0,0,0,66,6,2
56.0,69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41,0,0,0,1,0,0,0,41,7,2
69.0,66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52,0,1,0,0,0,0,0,52,8,2
66.0,66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56,0,0,0,0,0,1,0,56,9,2
66.0,59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55,0,0,0,0,0,0,1,55,10,2
59.0,78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58,0,0,0,0,1,0,0,58,11,2
78.0,60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62,1,0,0,0,0,0,0,62,12,2
60.0,48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55,0,0,1,0,0,0,0,55,13,2
48.0,57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59,0,0,0,1,0,0,0,59,14,2
57.0,63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84,0,1,0,0,0,0,0,84,15,2
63.0,79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88,0,0,0,0,0,1,0,88,16,2
79.0,85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66,0,0,0,0,0,0,1,66,17,2
85.0,76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80,0,0,0,0,1,0,0,80,18,2
76.0,65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83,1,0,0,0,0,0,0,83,19,2
65.0,86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40,0,0,1,0,0,0,0,40,20,2
86.0,74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47,0,0,0,1,0,0,0,47,21,2
74.0,54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62,0,1,0,0,0,0,0,62,22,2
54.0,59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70,0,0,0,0,0,1,0,70,23,2
59.0,48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62,0,0,0,0,0,0,1,62,24,2
48.0,73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43,0,0,0,0,1,0,0,43,25,2
73.0,65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54,1,0,0,0,0,0,0,54,26,2
65.0,63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59,0,0,1,0,0,0,0,59,27,2
63.0,71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55,0,0,0,1,0,0,0,55,28,2
71.0,71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54,0,1,0,0,0,0,0,54,29,2
71.0,52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54,0,0,0,0,0,1,0,54,1,3
52.0,59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58,0,0,0,0,0,0,1,58,2,3
59.0,73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77,0,0,0,0,1,0,0,77,3,3
73.0,66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78,1,0,0,0,0,0,0,78,4,3
66.0,41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67,0,0,1,0,0,0,0,67,5,3
41.0,52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60,0,0,0,1,0,0,0,60,6,3
52.0,56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60,0,1,0,0,0,0,0,60,7,3
56.0,55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52,0,0,0,0,0,1,0,52,8,3
55.0,58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52,0,0,0,0,0,0,1,52,9,3
58.0,62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46,0,0,0,0,1,0,0,46,10,3
62.0,55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72,1,0,0,0,0,0,0,72,11,3
55.0,59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81,0,0,1,0,0,0,0,81,12,3
59.0,84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62,0,0,0,1,0,0,0,62,13,3
84.0,88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58,0,1,0,0,0,0,0,58,14,3
88.0,66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49,0,0,0,0,0,1,0,49,15,3
66.0,80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73,0,0,0,0,0,0,1,73,16,3
80.0,83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43,0,0,0,0,1,0,0,43,17,3
83.0,40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46,1,0,0,0,0,0,0,46,18,3
40.0,47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46.0,55,0,0,1,0,0,0,0,55,19,3
47.0,62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46.0,55.0,54,0,0,0,1,0,0,0,54,20,3
62.0,70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46.0,55.0,54.0,58,0,1,0,0,0,0,0,58,21,3
70.0,62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46.0,55.0,54.0,58.0,63,0,0,0,0,0,1,0,63,22,3
62.0,43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46.0,55.0,54.0,58.0,63.0,69,0,0,0,0,0,0,1,69,23,3
43.0,54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46.0,55.0,54.0,58.0,63.0,69.0,44,0,0,0,0,1,0,0,44,24,3
54.0,59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46.0,55.0,54.0,58.0,63.0,69.0,44.0,60,1,0,0,0,0,0,0,60,25,3
59.0,55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46.0,55.0,54.0,58.0,63.0,69.0,44.0,60.0,62,0,0,1,0,0,0,0,62,26,3
55.0,54.0,54.0,58.0,77.0,78.0,67.0,60.0,60.0,52.0,52.0,46.0,72.0,81.0,62.0,58.0,49.0,73.0,43.0,46.0,55.0,54.0,58.0,63.0,69.0,44.0,60.0,62.0,53,0,0,0,1,0,0,0,53,27,3
