lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
18.0,40.0,20.0,60.0,18.0,15.0,21.0,23.0,33.0,34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20,0,0,0,0,0,1,0,20,12,4
40.0,20.0,60.0,18.0,15.0,21.0,23.0,33.0,34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38,1,0,0,0,0,0,0,38,15,4
20.0,60.0,18.0,15.0,21.0,23.0,33.0,34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43,0,1,0,0,0,0,0,43,18,4
60.0,18.0,15.0,21.0,23.0,33.0,34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45,0,0,0,0,1,0,0,45,21,4
18.0,15.0,21.0,23.0,33.0,34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35,0,0,0,1,0,0,0,35,24,4
15.0,21.0,23.0,33.0,34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33,0,0,1,0,0,0,0,33,30,4
21.0,23.0,33.0,34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25,0,0,0,0,0,1,0,25,3,5
23.0,33.0,34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15,1,0,0,0,0,0,0,15,13,5
33.0,34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26,0,0,0,0,0,0,1,26,18,5
34.0,24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19,0,0,1,0,0,0,0,19,21,5
24.0,7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37,0,0,0,0,0,1,0,37,24,5
7.0,21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32,1,0,0,0,0,0,0,32,27,5
21.0,34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26,0,0,0,0,1,0,0,26,2,6
34.0,25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22,0,0,0,1,0,0,0,22,5,6
25.0,43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17,0,0,0,0,0,0,1,17,8,6
43.0,29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41,0,0,1,0,0,0,0,41,11,6
29.0,36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22,0,0,0,0,0,1,0,22,14,6
36.0,30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22.0,33,1,0,0,0,0,0,0,33,17,6
30.0,15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22.0,33.0,38,0,1,0,0,0,0,0,38,20,6
15.0,19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22.0,33.0,38.0,41,0,0,0,0,1,0,0,41,23,6
19.0,44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22.0,33.0,38.0,41.0,40,0,0,0,1,0,0,0,40,26,6
44.0,27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22.0,33.0,38.0,41.0,40.0,22,0,0,0,0,0,0,1,22,29,6
27.0,36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22.0,33.0,38.0,41.0,40.0,22.0,30,0,0,1,0,0,0,0,30,2,7
36.0,25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22.0,33.0,38.0,41.0,40.0,22.0,30.0,33,0,0,0,1,0,0,0,33,3,7
25.0,12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22.0,33.0,38.0,41.0,40.0,22.0,30.0,33.0,22,1,0,0,0,0,0,0,22,8,7
12.0,28.0,13.0,20.0,38.0,43.0,45.0,35.0,33.0,25.0,15.0,26.0,19.0,37.0,32.0,26.0,22.0,17.0,41.0,22.0,33.0,38.0,41.0,40.0,22.0,30.0,33.0,22.0,30,0,1,0,0,0,0,0,30,11,7
