lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
18.0,29.0,19.0,27.0,60.0,29.0,33.0,44.0,45.0,20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40,0,0,0,0,1,0,0,40,10,3
29.0,19.0,27.0,60.0,29.0,33.0,44.0,45.0,20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23,1,0,0,0,0,0,0,23,11,3
19.0,27.0,60.0,29.0,33.0,44.0,45.0,20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31,0,0,1,0,0,0,0,31,12,3
27.0,60.0,29.0,33.0,44.0,45.0,20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31,0,0,0,1,0,0,0,31,13,3
60.0,29.0,33.0,44.0,45.0,20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39,0,1,0,0,0,0,0,39,14,3
29.0,33.0,44.0,45.0,20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50,0,0,0,0,0,1,0,50,15,3
33.0,44.0,45.0,20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42,0,0,0,0,0,0,1,42,16,3
44.0,45.0,20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44,0,0,0,0,1,0,0,44,17,3
45.0,20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44,1,0,0,0,0,0,0,44,18,3
20.0,16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35,0,0,1,0,0,0,0,35,19,3
16.0,34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31,0,0,0,1,0,0,0,31,20,3
34.0,22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36,0,1,0,0,0,0,0,36,21,3
22.0,32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46,0,0,0,0,0,1,0,46,22,3
32.0,32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47,0,0,0,0,0,0,1,47,23,3
32.0,43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43,0,0,0,0,1,0,0,43,24,3
43.0,33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27,1,0,0,0,0,0,0,27,25,3
33.0,8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44,0,0,1,0,0,0,0,44,26,3
8.0,38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34,0,0,0,1,0,0,0,34,27,3
38.0,37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34,0,1,0,0,0,0,0,34,28,3
37.0,31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34.0,42,0,0,0,0,0,1,0,42,29,3
31.0,20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34.0,42.0,50,0,0,0,0,0,0,1,50,30,3
20.0,36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34.0,42.0,50.0,46,0,0,0,0,1,0,0,46,31,3
36.0,22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34.0,42.0,50.0,46.0,38,1,0,0,0,0,0,0,38,1,4
22.0,30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34.0,42.0,50.0,46.0,38.0,40,0,0,1,0,0,0,0,40,2,4
30.0,43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34.0,42.0,50.0,46.0,38.0,40.0,42,0,0,0,1,0,0,0,42,3,4
43.0,47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34.0,42.0,50.0,46.0,38.0,40.0,42.0,46,0,1,0,0,0,0,0,46,4,4
47.0,43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34.0,42.0,50.0,46.0,38.0,40.0,42.0,46.0,43,0,0,0,0,0,1,0,43,5,4
43.0,40.0,23.0,31.0,31.0,39.0,50.0,42.0,44.0,44.0,35.0,31.0,36.0,46.0,47.0,43.0,27.0,44.0,34.0,34.0,42.0,50.0,46.0,38.0,40.0,42.0,46.0,43.0,44,0,0,0,0,0,0,1,44,6,4
