lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,35.0,31.0,27.0,46.0,24.0,29.0,25.0,31.0,29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44,0,0,1,0,0,0,0,44,30,1
35.0,31.0,27.0,46.0,24.0,29.0,25.0,31.0,29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44.0,40,0,0,0,1,0,0,0,40,31,1
31.0,27.0,46.0,24.0,29.0,25.0,31.0,29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44.0,40.0,34,0,1,0,0,0,0,0,34,1,2
27.0,46.0,24.0,29.0,25.0,31.0,29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44.0,40.0,34.0,43,0,0,0,0,0,1,0,43,2,2
46.0,24.0,29.0,25.0,31.0,29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44.0,40.0,34.0,43.0,36,0,0,0,0,0,0,1,36,3,2
24.0,29.0,25.0,31.0,29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44.0,40.0,34.0,43.0,36.0,37,0,0,0,0,1,0,0,37,4,2
29.0,25.0,31.0,29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44.0,40.0,34.0,43.0,36.0,37.0,38,1,0,0,0,0,0,0,38,5,2
25.0,31.0,29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44.0,40.0,34.0,43.0,36.0,37.0,38.0,51,0,0,1,0,0,0,0,51,6,2
31.0,29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44.0,40.0,34.0,43.0,36.0,37.0,38.0,51.0,46,0,0,0,1,0,0,0,46,7,2
29.0,37.0,50.0,59.0,36.0,27.0,31.0,29.0,38.0,26.0,16.0,33.0,31.0,32.0,41.0,28.0,31.0,44.0,44.0,44.0,40.0,34.0,43.0,36.0,37.0,38.0,51.0,46.0,66,0,0,0,0,1,0,0,66,18,2
