lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,38.0,33.0,46.0,39.0,46.0,29.0,31.0,26.0,34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62,0,0,1,0,0,0,0,62,30,1
38.0,33.0,46.0,39.0,46.0,29.0,31.0,26.0,34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97,0,0,0,1,0,0,0,97,31,1
33.0,46.0,39.0,46.0,29.0,31.0,26.0,34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123,0,1,0,0,0,0,0,123,1,2
46.0,39.0,46.0,29.0,31.0,26.0,34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105,0,0,0,0,0,1,0,105,2,2
39.0,46.0,29.0,31.0,26.0,34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37,0,0,0,0,0,0,1,37,3,2
46.0,29.0,31.0,26.0,34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37,0,0,0,0,1,0,0,37,4,2
29.0,31.0,26.0,34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37,1,0,0,0,0,0,0,37,5,2
31.0,26.0,34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42,0,0,1,0,0,0,0,42,6,2
26.0,34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54,0,0,0,1,0,0,0,54,7,2
34.0,39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42,0,1,0,0,0,0,0,42,8,2
39.0,46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40,0,0,0,0,0,1,0,40,9,2
46.0,35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37,0,0,0,0,0,0,1,37,10,2
35.0,37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52,0,0,0,0,1,0,0,52,11,2
37.0,51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43,1,0,0,0,0,0,0,43,12,2
51.0,33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43,0,0,1,0,0,0,0,43,13,2
33.0,45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58,0,0,0,1,0,0,0,58,14,2
45.0,43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96,0,1,0,0,0,0,0,96,15,2
43.0,33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56,0,0,0,0,0,1,0,56,16,2
33.0,35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56.0,38,0,0,0,0,0,0,1,38,17,2
35.0,31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56.0,38.0,40,0,0,0,0,1,0,0,40,18,2
31.0,48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56.0,38.0,40.0,56,1,0,0,0,0,0,0,56,19,2
48.0,70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56.0,38.0,40.0,56.0,56,0,0,1,0,0,0,0,56,20,2
70.0,39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56.0,38.0,40.0,56.0,56.0,60,0,0,0,1,0,0,0,60,21,2
39.0,30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56.0,38.0,40.0,56.0,56.0,60.0,54,0,1,0,0,0,0,0,54,22,2
30.0,25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56.0,38.0,40.0,56.0,56.0,60.0,54.0,28,0,0,0,0,0,1,0,28,23,2
25.0,33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56.0,38.0,40.0,56.0,56.0,60.0,54.0,28.0,40,0,0,0,0,0,0,1,40,24,2
33.0,51.0,62.0,97.0,123.0,105.0,37.0,37.0,37.0,42.0,54.0,42.0,40.0,37.0,52.0,43.0,43.0,58.0,96.0,56.0,38.0,40.0,56.0,56.0,60.0,54.0,28.0,40.0,44,0,0,0,0,1,0,0,44,25,2
