lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
1.0,4.0,20.0,20.0,56.0,0.0,66.0,79.0,72.0,20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36,1,0,0,0,0,0,0,36,10,2
4.0,20.0,20.0,56.0,0.0,66.0,79.0,72.0,20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36.0,62,0,0,1,0,0,0,0,62,11,2
20.0,20.0,56.0,0.0,66.0,79.0,72.0,20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36.0,62.0,19,0,0,0,1,0,0,0,19,12,2
20.0,56.0,0.0,66.0,79.0,72.0,20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36.0,62.0,19.0,0,0,1,0,0,0,0,0,0,13,2
56.0,0.0,66.0,79.0,72.0,20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36.0,62.0,19.0,0.0,124,0,0,0,0,0,1,0,124,14,2
0.0,66.0,79.0,72.0,20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36.0,62.0,19.0,0.0,124.0,125,0,0,0,0,0,0,1,125,15,2
66.0,79.0,72.0,20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36.0,62.0,19.0,0.0,124.0,125.0,3,0,0,0,0,1,0,0,3,16,2
79.0,72.0,20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36.0,62.0,19.0,0.0,124.0,125.0,3.0,104,1,0,0,0,0,0,0,104,17,2
72.0,20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36.0,62.0,19.0,0.0,124.0,125.0,3.0,104.0,23,0,0,1,0,0,0,0,23,18,2
20.0,0.0,1.0,31.0,29.0,10.0,31.0,44.0,23.0,108.0,27.0,1.0,1.0,17.0,19.0,46.0,111.0,39.0,0.0,36.0,62.0,19.0,0.0,124.0,125.0,3.0,104.0,23.0,17,0,0,0,1,0,0,0,17,19,2
