lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
34.0,38.0,34.0,31.0,31.0,44.0,67.0,41.0,35.0,33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38,0,0,1,0,0,0,0,38,30,1
38.0,34.0,31.0,31.0,44.0,67.0,41.0,35.0,33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38.0,44,0,0,0,1,0,0,0,44,31,1
34.0,31.0,31.0,44.0,67.0,41.0,35.0,33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38.0,44.0,42,0,1,0,0,0,0,0,42,1,2
31.0,31.0,44.0,67.0,41.0,35.0,33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38.0,44.0,42.0,43,0,0,0,0,0,1,0,43,2,2
31.0,44.0,67.0,41.0,35.0,33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38.0,44.0,42.0,43.0,38,0,0,0,0,0,0,1,38,3,2
44.0,67.0,41.0,35.0,33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38.0,44.0,42.0,43.0,38.0,28,0,0,0,0,1,0,0,28,4,2
67.0,41.0,35.0,33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38.0,44.0,42.0,43.0,38.0,28.0,31,1,0,0,0,0,0,0,31,5,2
41.0,35.0,33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38.0,44.0,42.0,43.0,38.0,28.0,31.0,38,0,0,1,0,0,0,0,38,6,2
35.0,33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38.0,44.0,42.0,43.0,38.0,28.0,31.0,38.0,35,0,0,0,1,0,0,0,35,7,2
33.0,36.0,35.0,38.0,41.0,38.0,30.0,33.0,31.0,44.0,56.0,48.0,38.0,41.0,45.0,44.0,36.0,39.0,37.0,38.0,44.0,42.0,43.0,38.0,28.0,31.0,38.0,35.0,45,0,1,0,0,0,0,0,45,8,2
