lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
36.0,41.0,37.0,43.0,33.0,38.0,40.0,40.0,39.0,37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42,0,0,1,0,0,0,0,42,30,4
41.0,37.0,43.0,33.0,38.0,40.0,40.0,39.0,37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31,0,0,0,1,0,0,0,31,1,5
37.0,43.0,33.0,38.0,40.0,40.0,39.0,37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33,0,1,0,0,0,0,0,33,2,5
43.0,33.0,38.0,40.0,40.0,39.0,37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42,0,0,0,0,0,1,0,42,3,5
33.0,38.0,40.0,40.0,39.0,37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42.0,34,0,0,0,0,0,0,1,34,4,5
38.0,40.0,40.0,39.0,37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42.0,34.0,36,0,0,0,0,1,0,0,36,5,5
40.0,40.0,39.0,37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42.0,34.0,36.0,49,1,0,0,0,0,0,0,49,6,5
40.0,39.0,37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42.0,34.0,36.0,49.0,43,0,0,1,0,0,0,0,43,7,5
39.0,37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42.0,34.0,36.0,49.0,43.0,44,0,0,0,1,0,0,0,44,8,5
37.0,38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42.0,34.0,36.0,49.0,43.0,44.0,43,0,1,0,0,0,0,0,43,9,5
38.0,42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42.0,34.0,36.0,49.0,43.0,44.0,43.0,35,0,0,0,0,0,1,0,35,10,5
42.0,47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42.0,34.0,36.0,49.0,43.0,44.0,43.0,35.0,41,0,0,0,0,0,0,1,41,11,5
47.0,80.0,112.0,105.0,122.0,44.0,47.0,35.0,28.0,39.0,49.0,50.0,33.0,40.0,37.0,35.0,42.0,31.0,33.0,42.0,34.0,36.0,49.0,43.0,44.0,43.0,35.0,41.0,44,0,0,0,0,1,0,0,44,12,5
