lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
48.0,29.0,30.0,48.0,62.0,62.0,62.0,41.0,31.0,40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52,0,0,1,0,0,0,0,52,30,1
29.0,30.0,48.0,62.0,62.0,62.0,41.0,31.0,40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64,0,0,0,1,0,0,0,64,31,1
30.0,48.0,62.0,62.0,62.0,41.0,31.0,40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38,0,1,0,0,0,0,0,38,1,2
48.0,62.0,62.0,62.0,41.0,31.0,40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53,0,0,0,0,0,1,0,53,2,2
62.0,62.0,62.0,41.0,31.0,40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53.0,41,0,0,0,0,0,0,1,41,3,2
62.0,62.0,41.0,31.0,40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53.0,41.0,35,0,0,0,0,1,0,0,35,4,2
62.0,41.0,31.0,40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53.0,41.0,35.0,44,1,0,0,0,0,0,0,44,5,2
41.0,31.0,40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53.0,41.0,35.0,44.0,65,0,0,1,0,0,0,0,65,6,2
31.0,40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53.0,41.0,35.0,44.0,65.0,80,0,0,0,1,0,0,0,80,7,2
40.0,117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53.0,41.0,35.0,44.0,65.0,80.0,40,0,1,0,0,0,0,0,40,8,2
117.0,60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53.0,41.0,35.0,44.0,65.0,80.0,40.0,30,0,0,0,0,0,1,0,30,9,2
60.0,64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53.0,41.0,35.0,44.0,65.0,80.0,40.0,30.0,43,0,0,0,0,0,0,1,43,10,2
64.0,55.0,31.0,30.0,55.0,49.0,60.0,72.0,61.0,36.0,61.0,76.0,59.0,33.0,55.0,56.0,52.0,64.0,38.0,53.0,41.0,35.0,44.0,65.0,80.0,40.0,30.0,43.0,43,0,0,0,0,1,0,0,43,11,2
