lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,29.0,27.0,32.0,62.0,58.0,51.0,30.0,27.0,33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31,0,0,1,0,0,0,0,31,30,1
29.0,27.0,32.0,62.0,58.0,51.0,30.0,27.0,33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34,0,0,0,1,0,0,0,34,31,1
27.0,32.0,62.0,58.0,51.0,30.0,27.0,33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34.0,29,0,1,0,0,0,0,0,29,1,2
32.0,62.0,58.0,51.0,30.0,27.0,33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34.0,29.0,35,0,0,0,0,0,1,0,35,2,2
62.0,58.0,51.0,30.0,27.0,33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34.0,29.0,35.0,37,0,0,0,0,0,0,1,37,3,2
58.0,51.0,30.0,27.0,33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34.0,29.0,35.0,37.0,31,0,0,0,0,1,0,0,31,4,2
51.0,30.0,27.0,33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34.0,29.0,35.0,37.0,31.0,36,1,0,0,0,0,0,0,36,5,2
30.0,27.0,33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34.0,29.0,35.0,37.0,31.0,36.0,38,0,0,1,0,0,0,0,38,6,2
27.0,33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34.0,29.0,35.0,37.0,31.0,36.0,38.0,31,0,0,0,1,0,0,0,31,7,2
33.0,27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34.0,29.0,35.0,37.0,31.0,36.0,38.0,31.0,31,0,1,0,0,0,0,0,31,8,2
27.0,52.0,61.0,26.0,26.0,27.0,28.0,27.0,58.0,52.0,28.0,38.0,63.0,42.0,28.0,31.0,28.0,31.0,31.0,34.0,29.0,35.0,37.0,31.0,36.0,38.0,31.0,31.0,35,0,0,0,0,0,1,0,35,9,2
