lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
10.0,14.0,10.0,10.0,15.0,7.0,8.0,6.0,9.0,14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45,1,0,0,0,0,0,0,45,17,6
14.0,10.0,10.0,15.0,7.0,8.0,6.0,9.0,14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37,0,1,0,0,0,0,0,37,20,6
10.0,10.0,15.0,7.0,8.0,6.0,9.0,14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25,0,0,0,0,0,0,1,25,29,6
10.0,15.0,7.0,8.0,6.0,9.0,14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20,0,0,1,0,0,0,0,20,2,7
15.0,7.0,8.0,6.0,9.0,14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35,0,0,0,0,0,1,0,35,5,7
7.0,8.0,6.0,9.0,14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35,1,0,0,0,0,0,0,35,8,7
8.0,6.0,9.0,14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48,0,0,0,0,1,0,0,48,14,7
6.0,9.0,14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20,0,0,0,1,0,0,0,20,17,7
9.0,14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36,0,0,0,0,0,0,1,36,20,7
14.0,15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23,0,0,1,0,0,0,0,23,23,7
15.0,5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21,1,0,0,0,0,0,0,21,29,7
5.0,7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21.0,37,0,1,0,0,0,0,0,37,1,8
7.0,15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21.0,37.0,52,0,0,0,0,1,0,0,52,4,8
15.0,35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21.0,37.0,52.0,16,0,0,0,1,0,0,0,16,7,8
35.0,17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21.0,37.0,52.0,16.0,30,0,0,0,0,0,0,1,30,10,8
17.0,17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21.0,37.0,52.0,16.0,30.0,13,0,0,1,0,0,0,0,13,13,8
17.0,15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21.0,37.0,52.0,16.0,30.0,13.0,21,0,0,0,0,0,1,0,21,16,8
15.0,16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21.0,37.0,52.0,16.0,30.0,13.0,21.0,15,1,0,0,0,0,0,0,15,19,8
16.0,26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21.0,37.0,52.0,16.0,30.0,13.0,21.0,15.0,38,0,1,0,0,0,0,0,38,22,8
26.0,21.0,13.0,18.0,19.0,19.0,30.0,35.0,18.0,45.0,37.0,25.0,20.0,35.0,35.0,48.0,20.0,36.0,23.0,21.0,37.0,52.0,16.0,30.0,13.0,21.0,15.0,38.0,17,0,0,0,0,1,0,0,17,25,8
