lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
14.0,16.0,17.0,11.0,8.0,8.0,12.0,18.0,12.0,12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9,0,0,1,0,0,0,0,9,30,1
16.0,17.0,11.0,8.0,8.0,12.0,18.0,12.0,12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11,0,0,0,1,0,0,0,11,31,1
17.0,11.0,8.0,8.0,12.0,18.0,12.0,12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11.0,10,0,1,0,0,0,0,0,10,1,2
11.0,8.0,8.0,12.0,18.0,12.0,12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11.0,10.0,15,0,0,0,0,0,1,0,15,2,2
8.0,8.0,12.0,18.0,12.0,12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11.0,10.0,15.0,18,0,0,0,0,0,0,1,18,3,2
8.0,12.0,18.0,12.0,12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11.0,10.0,15.0,18.0,13,0,0,0,0,1,0,0,13,4,2
12.0,18.0,12.0,12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11.0,10.0,15.0,18.0,13.0,16,1,0,0,0,0,0,0,16,5,2
18.0,12.0,12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11.0,10.0,15.0,18.0,13.0,16.0,19,0,0,1,0,0,0,0,19,6,2
12.0,12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11.0,10.0,15.0,18.0,13.0,16.0,19.0,18,0,0,0,1,0,0,0,18,7,2
12.0,16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11.0,10.0,15.0,18.0,13.0,16.0,19.0,18.0,21,0,1,0,0,0,0,0,21,8,2
16.0,22.0,10.0,10.0,10.0,15.0,14.0,11.0,13.0,22.0,22.0,15.0,13.0,22.0,25.0,24.0,23.0,19.0,9.0,11.0,10.0,15.0,18.0,13.0,16.0,19.0,18.0,21.0,19,0,0,0,0,0,1,0,19,9,2
