lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
32.0,45.0,25.0,62.0,59.0,74.0,71.0,58.0,29.0,29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38,0,0,1,0,0,0,0,38,30,1
45.0,25.0,62.0,59.0,74.0,71.0,58.0,29.0,29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65,0,0,0,1,0,0,0,65,31,1
25.0,62.0,59.0,74.0,71.0,58.0,29.0,29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72,0,1,0,0,0,0,0,72,1,2
62.0,59.0,74.0,71.0,58.0,29.0,29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53,0,0,0,0,0,1,0,53,2,2
59.0,74.0,71.0,58.0,29.0,29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41,0,0,0,0,0,0,1,41,3,2
74.0,71.0,58.0,29.0,29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37,0,0,0,0,1,0,0,37,4,2
71.0,58.0,29.0,29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27,1,0,0,0,0,0,0,27,5,2
58.0,29.0,29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34,0,0,1,0,0,0,0,34,6,2
29.0,29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63,0,0,0,1,0,0,0,63,7,2
29.0,47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63.0,39,0,1,0,0,0,0,0,39,8,2
47.0,35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63.0,39.0,39,0,0,0,0,0,1,0,39,9,2
35.0,55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63.0,39.0,39.0,52,0,0,0,0,0,0,1,52,10,2
55.0,81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63.0,39.0,39.0,52.0,34,0,0,0,0,1,0,0,34,11,2
81.0,59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63.0,39.0,39.0,52.0,34.0,33,1,0,0,0,0,0,0,33,12,2
59.0,22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63.0,39.0,39.0,52.0,34.0,33.0,37,0,0,1,0,0,0,0,37,13,2
22.0,33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63.0,39.0,39.0,52.0,34.0,33.0,37.0,29,0,0,0,1,0,0,0,29,14,2
33.0,29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63.0,39.0,39.0,52.0,34.0,33.0,37.0,29.0,59,0,1,0,0,0,0,0,59,15,2
29.0,33.0,33.0,34.0,32.0,33.0,67.0,91.0,51.0,62.0,64.0,38.0,65.0,72.0,53.0,41.0,37.0,27.0,34.0,63.0,39.0,39.0,52.0,34.0,33.0,37.0,29.0,59.0,47,0,0,0,0,0,1,0,47,16,2
