lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
43.0,47.0,38.0,47.0,53.0,80.0,54.0,49.0,23.0,33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38,0,0,1,0,0,0,0,38,30,1
47.0,38.0,47.0,53.0,80.0,54.0,49.0,23.0,33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54,0,0,0,1,0,0,0,54,31,1
38.0,47.0,53.0,80.0,54.0,49.0,23.0,33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52,0,1,0,0,0,0,0,52,1,2
47.0,53.0,80.0,54.0,49.0,23.0,33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36,0,0,0,0,0,1,0,36,2,2
53.0,80.0,54.0,49.0,23.0,33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27,0,0,0,0,0,0,1,27,3,2
80.0,54.0,49.0,23.0,33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33,0,0,0,0,1,0,0,33,4,2
54.0,49.0,23.0,33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24,1,0,0,0,0,0,0,24,5,2
49.0,23.0,33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32,0,0,1,0,0,0,0,32,6,2
23.0,33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50,0,0,0,1,0,0,0,50,7,2
33.0,36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27,0,1,0,0,0,0,0,27,8,2
36.0,40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53,0,0,0,0,0,1,0,53,9,2
40.0,51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37,0,0,0,0,0,0,1,37,10,2
51.0,63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37.0,23,0,0,0,0,1,0,0,23,11,2
63.0,43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37.0,23.0,31,1,0,0,0,0,0,0,31,12,2
43.0,32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37.0,23.0,31.0,29,0,0,1,0,0,0,0,29,13,2
32.0,39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37.0,23.0,31.0,29.0,25,0,0,0,1,0,0,0,25,14,2
39.0,31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37.0,23.0,31.0,29.0,25.0,54,0,1,0,0,0,0,0,54,15,2
31.0,29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37.0,23.0,31.0,29.0,25.0,54.0,42,0,0,0,0,0,1,0,42,16,2
29.0,32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37.0,23.0,31.0,29.0,25.0,54.0,42.0,45,0,0,0,0,0,0,1,45,17,2
32.0,30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37.0,23.0,31.0,29.0,25.0,54.0,42.0,45.0,26,0,0,0,0,1,0,0,26,18,2
30.0,22.0,37.0,56.0,43.0,46.0,52.0,47.0,38.0,54.0,52.0,36.0,27.0,33.0,24.0,32.0,50.0,27.0,53.0,37.0,23.0,31.0,29.0,25.0,54.0,42.0,45.0,26.0,30,1,0,0,0,0,0,0,30,19,2
