lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
46.0,51.0,46.0,48.0,37.0,71.0,77.0,46.0,46.0,48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45,0,1,0,0,0,0,0,45,2,5
51.0,46.0,48.0,37.0,71.0,77.0,46.0,46.0,48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45.0,43,0,0,0,0,0,1,0,43,3,5
46.0,48.0,37.0,71.0,77.0,46.0,46.0,48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45.0,43.0,45,0,0,0,0,0,0,1,45,4,5
48.0,37.0,71.0,77.0,46.0,46.0,48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45.0,43.0,45.0,44,0,0,0,0,1,0,0,44,5,5
37.0,71.0,77.0,46.0,46.0,48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45.0,43.0,45.0,44.0,48,1,0,0,0,0,0,0,48,6,5
71.0,77.0,46.0,46.0,48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45.0,43.0,45.0,44.0,48.0,51,0,0,1,0,0,0,0,51,7,5
77.0,46.0,46.0,48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45.0,43.0,45.0,44.0,48.0,51.0,51,0,0,0,1,0,0,0,51,8,5
46.0,46.0,48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45.0,43.0,45.0,44.0,48.0,51.0,51.0,64,0,1,0,0,0,0,0,64,9,5
46.0,48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45.0,43.0,45.0,44.0,48.0,51.0,51.0,64.0,64,0,0,0,0,0,1,0,64,10,5
48.0,51.0,58.0,51.0,61.0,80.0,101.0,93.0,51.0,48.0,74.0,67.0,50.0,50.0,46.0,51.0,58.0,50.0,42.0,45.0,43.0,45.0,44.0,48.0,51.0,51.0,64.0,64.0,50,0,0,0,0,0,0,1,50,11,5
