lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
52.0,31.0,17.0,11.0,28.0,16.0,44.0,34.0,30.0,25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33,0,0,0,0,0,0,1,33,13,4
31.0,17.0,11.0,28.0,16.0,44.0,34.0,30.0,25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36,0,0,0,0,1,0,0,36,14,4
17.0,11.0,28.0,16.0,44.0,34.0,30.0,25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44,1,0,0,0,0,0,0,44,15,4
11.0,28.0,16.0,44.0,34.0,30.0,25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43,0,0,1,0,0,0,0,43,16,4
28.0,16.0,44.0,34.0,30.0,25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46,0,0,0,1,0,0,0,46,17,4
16.0,44.0,34.0,30.0,25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51,0,1,0,0,0,0,0,51,18,4
44.0,34.0,30.0,25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39,0,0,0,0,0,1,0,39,19,4
34.0,30.0,25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39,0,0,0,0,0,0,1,39,20,4
30.0,25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43,0,0,0,0,1,0,0,43,21,4
25.0,16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31,1,0,0,0,0,0,0,31,22,4
16.0,10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29,0,0,1,0,0,0,0,29,23,4
10.0,31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37,0,0,0,1,0,0,0,37,24,4
31.0,21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50,0,1,0,0,0,0,0,50,25,4
21.0,19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35,0,0,0,0,0,1,0,35,26,4
19.0,35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36,0,0,0,0,0,0,1,36,27,4
35.0,31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33,0,0,0,0,1,0,0,33,28,4
31.0,35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22,1,0,0,0,0,0,0,22,29,4
35.0,35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26,0,0,1,0,0,0,0,26,30,4
35.0,33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30,0,0,0,1,0,0,0,30,1,5
33.0,30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23,0,1,0,0,0,0,0,23,2,5
30.0,41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34,0,0,0,0,0,1,0,34,3,5
41.0,31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38,0,0,0,0,0,0,1,38,4,5
31.0,35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38.0,35,0,0,0,0,1,0,0,35,5,5
35.0,31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38.0,35.0,36,1,0,0,0,0,0,0,36,6,5
31.0,31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38.0,35.0,36.0,44,0,0,1,0,0,0,0,44,7,5
31.0,32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38.0,35.0,36.0,44.0,34,0,0,0,1,0,0,0,34,8,5
32.0,29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38.0,35.0,36.0,44.0,34.0,30,0,1,0,0,0,0,0,30,9,5
29.0,33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38.0,35.0,36.0,44.0,34.0,30.0,29,0,0,0,0,0,1,0,29,10,5
33.0,36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38.0,35.0,36.0,44.0,34.0,30.0,29.0,37,0,0,0,0,0,0,1,37,11,5
36.0,44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38.0,35.0,36.0,44.0,34.0,30.0,29.0,37.0,42,0,0,0,0,1,0,0,42,12,5
44.0,43.0,46.0,51.0,39.0,39.0,43.0,31.0,29.0,37.0,50.0,35.0,36.0,33.0,22.0,26.0,30.0,23.0,34.0,38.0,35.0,36.0,44.0,34.0,30.0,29.0,37.0,42.0,32,1,0,0,0,0,0,0,32,13,5
