lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
18.0,11.0,11.0,16.0,34.0,50.0,51.0,10.0,8.0,10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14,0,0,1,0,0,0,0,14,30,1
11.0,11.0,16.0,34.0,50.0,51.0,10.0,8.0,10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14.0,29,0,0,0,1,0,0,0,29,31,1
11.0,16.0,34.0,50.0,51.0,10.0,8.0,10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14.0,29.0,19,0,1,0,0,0,0,0,19,1,2
16.0,34.0,50.0,51.0,10.0,8.0,10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14.0,29.0,19.0,17,0,0,0,0,0,1,0,17,2,2
34.0,50.0,51.0,10.0,8.0,10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14.0,29.0,19.0,17.0,22,0,0,0,0,0,0,1,22,3,2
50.0,51.0,10.0,8.0,10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14.0,29.0,19.0,17.0,22.0,7,0,0,0,0,1,0,0,7,4,2
51.0,10.0,8.0,10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14.0,29.0,19.0,17.0,22.0,7.0,13,1,0,0,0,0,0,0,13,5,2
10.0,8.0,10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14.0,29.0,19.0,17.0,22.0,7.0,13.0,43,0,0,1,0,0,0,0,43,6,2
8.0,10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14.0,29.0,19.0,17.0,22.0,7.0,13.0,43.0,23,0,0,0,1,0,0,0,23,7,2
10.0,14.0,18.0,20.0,17.0,26.0,9.0,8.0,20.0,28.0,29.0,58.0,10.0,22.0,41.0,16.0,10.0,42.0,10.0,14.0,29.0,19.0,17.0,22.0,7.0,13.0,43.0,23.0,27,0,1,0,0,0,0,0,27,8,2
